,City,Code.1,Code.2,a. Index of Multiple Deprivation (IMD),b. Income Deprivation Domain,c. Employment Deprivation Domain,"d. Education, Skills and Training Domain",e. Health Deprivation and Disability Domain,f. Crime Domain,g. Barriers to Housing and Services Domain,h. Living Environment Deprivation Domain,i. Income Deprivation Affecting Children Index (IDACI),j. Income Deprivation Affecting Older People Index (IDAOPI),LSOA
166,Leeds,040D,E01011660,1,1,1,1,1,1,4,3,1,2,Leeds 040D
167,Leeds,040E,E01011662,1,1,1,1,1,1,2,3,1,1,Leeds 040E
168,Leeds,041A,E01011721,1,2,2,2,2,1,6,1,2,3,Leeds 041A
169,Leeds,041B,E01011722,3,3,3,3,2,3,4,5,3,3,Leeds 041B
170,Leeds,041C,E01011723,1,2,2,1,1,2,4,2,1,2,Leeds 041C
171,Leeds,041D,E01011724,2,2,2,2,2,3,5,4,3,2,Leeds 041D
172,Leeds,042A,E01011356,5,5,4,9,4,3,8,2,6,3,Leeds 042A
173,Leeds,042B,E01011358,1,2,2,2,1,2,4,1,3,2,Leeds 042B
174,Leeds,042C,E01011359,2,2,3,5,2,1,7,1,4,1,Leeds 042C
175,Leeds,042D,E01011360,1,1,1,1,2,2,4,1,3,1,Leeds 042D
176,Leeds,042E,E01011361,1,1,1,2,1,2,4,2,1,1,Leeds 042E
177,Leeds,044A,E01011435,5,9,10,3,3,2,5,2,2,4,Leeds 044A
178,Leeds,044D,E01011440,6,9,10,9,4,2,5,1,7,3,Leeds 044D
179,Leeds,044E,E01011441,5,6,5,7,3,3,4,2,5,3,Leeds 044E
180,Leeds,044F,E01032945,8,10,10,7,7,5,4,2,3,8,Leeds 044F
181,Leeds,045A,E01011477,3,3,4,6,3,2,6,2,4,2,Leeds 045A
182,Leeds,045B,E01011480,6,8,7,7,5,2,8,3,6,7,Leeds 045B
183,Leeds,045C,E01011488,3,4,5,5,3,1,7,2,1,3,Leeds 045C
184,Leeds,045D,E01011489,4,4,4,5,3,2,6,4,3,2,Leeds 045D
185,Leeds,046A,E01011324,2,2,3,1,2,3,3,2,1,1,Leeds 046A
186,Leeds,046B,E01011325,4,4,3,3,3,3,8,4,4,5,Leeds 046B
187,Leeds,046C,E01011326,1,1,1,1,1,1,6,2,1,2,Leeds 046C
188,Leeds,046D,E01011332,1,1,1,1,2,1,6,3,1,3,Leeds 046D
189,Leeds,047A,E01011423,1,1,2,2,2,1,6,2,2,2,Leeds 047A
190,Leeds,047B,E01011424,2,2,2,1,3,3,5,2,3,3,Leeds 047B
191,Leeds,047C,E01011427,1,1,1,1,1,1,4,1,1,1,Leeds 047C
192,Leeds,047D,E01011431,1,1,1,1,1,1,4,2,2,1,Leeds 047D
193,Leeds,048A,E01011422,1,2,1,2,2,1,4,1,3,1,Leeds 048A
194,Leeds,048B,E01011426,1,1,1,1,1,2,3,1,3,1,Leeds 048B
195,Leeds,048C,E01011428,1,2,2,1,2,1,4,1,3,1,Leeds 048C
196,Leeds,048D,E01011429,1,1,1,1,1,1,2,1,2,1,Leeds 048D
197,Leeds,050A,E01011663,1,1,1,1,1,1,5,4,1,1,Leeds 050A
198,Leeds,050B,E01011664,1,1,1,1,1,1,4,4,1,1,Leeds 050B
199,Leeds,050C,E01011665,2,2,2,2,1,1,5,2,2,4,Leeds 050C
200,Leeds,050D,E01011667,1,1,1,1,1,1,4,3,1,1,Leeds 050D
201,Leeds,051A,E01011323,4,4,4,4,2,3,9,4,5,2,Leeds 051A
202,Leeds,051B,E01011329,7,8,7,8,6,3,8,4,7,7,Leeds 051B
