Reference Number,Number of Casualties,Casualty Class,Casualty Severity,Latitude,Longitude,Easting,Northing
1046509,1,Pedestrian,Serious,53.80524062,-1.474505842,434603,434479
1047009,2,Pedestrian,Slight,53.79543299,-1.537683193,430450,433359
1047109,1,Pedestrian,Slight,53.81406092,-1.543037629,430084,435429
1048209,1,Pedestrian,Slight,53.74939585,-1.477675112,434440,428265
1057709,1,Pedestrian,Serious,53.79756284,-1.616554079,425254,433565
1059909,1,Pedestrian,Serious,53.82860977,-1.683963654,420799,436997
1062009,1,Pedestrian,Slight,53.77059988,-1.577711818,427830,430580
1063809,1,Pedestrian,Slight,53.8264618,-1.449975186,436200,436852
1064009,1,Pedestrian,Serious,53.82702431,-1.451107398,436125,436914
1064109,1,Pedestrian,Slight,53.77956343,-1.52295363,431432,431600
1066309,2,Pedestrian,Serious,53.79520643,-1.527983851,431089,433338
1066409,1,Pedestrian,Slight,53.77143496,-1.370513514,441484,430774
1066609,1,Pedestrian,Slight,53.79689166,-1.557390436,429151,433513
1069109,1,Pedestrian,Slight,53.74781552,-1.627456353,424565,428027
1080509,1,Pedestrian,Slight,53.79749456,-1.545540839,429931,433585
1081909,1,Pedestrian,Slight,53.77674325,-1.378295404,440966,431360
1082909,1,Pedestrian,Slight,53.77494043,-1.547802856,429798,431075
1083409,1,Pedestrian,Slight,53.78938367,-1.569158624,428381,432673
1087409,2,Pedestrian,Slight,53.76486779,-1.581122317,427609,429941
1087909,1,Pedestrian,Slight,53.75248597,-1.466974046,435143,428614
1088509,1,Pedestrian,Slight,53.80259161,-1.522464497,431447,434162
1093709,1,Pedestrian,Slight,53.80862996,-1.524142459,431332,434833
1093909,1,Pedestrian,Slight,53.81032906,-1.448606814,436304,435058
1094709,1,Pedestrian,Slight,53.8397457,-1.63588176,423957,438251
1095209,1,Pedestrian,Serious,53.80296231,-1.632844509,424178,434160
1211556,1,Pedestrian,Slight,53.8163227,-1.59725811,426513,435659
1311240,2,Pedestrian,Slight,53.81032474,-1.568184503,428431,435003
1311578,1,Pedestrian,Slight,53.80902475,-1.50617077,432515,434885
1331079,1,Pedestrian,Slight,53.8279786,-1.509549023,432278,436992
1340155,1,Pedestrian,Slight,53.82085155,-1.575915394,427915,436171
1350602,1,Pedestrian,Slight,53.74674882,-1.549758643,429689,427938
