Col.Number,Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle
1433,517009,430091,434604,2,1,29-Jun-09,935,6,1,1,1,1,3,1,25,1
1439,523909,420429,440373,2,1,30-Jun-09,945,3,2,1,2,1,3,1,45,1
1441,541809,429793,433791,2,1,01-Jul-09,1300,6,1,1,1,1,3,1,29,1
1455,533109,428435,435000,2,1,02-Jul-09,1815,6,1,1,1,1,3,1,22,1
1457,574709,428060,435959,2,1,02-Jul-09,1605,3,1,1,1,1,3,1,45,1
1461,534409,430072,433934,2,1,03-Jul-09,2340,6,1,4,1,1,3,1,26,1
1499,543109,428224,435779,2,1,06-Jul-09,1430,3,1,1,1,1,3,1,30,1
1501,543709,429141,435248,2,1,06-Jul-09,1000,3,1,1,1,1,3,1,46,1
1509,548009,420228,439432,2,1,07-Jul-09,855,3,1,1,1,1,3,2,40,1
1516,552009,431403,438152,2,1,08-Jul-09,1035,6,1,1,1,1,3,1,56,1
1543,585509,435051,434948,2,1,10-Jul-09,1700,6,1,1,1,1,3,1,41,1
1571,551609,426780,428665,2,2,13-Jul-09,1205,6,1,1,1,1,2,1,42,1
1580,558909,424527,437057,2,1,14-Jul-09,705,3,1,1,1,1,2,1,38,1
1581,560109,428416,432513,2,1,14-Jul-09,713,3,1,1,1,1,3,2,30,1
1582,563909,428133,431161,2,1,14-Jul-09,905,3,1,1,1,1,3,1,30,1
1583,564109,431906,435743,2,1,14-Jul-09,1308,3,1,1,1,1,3,1,41,1
1595,587209,428083,433566,2,1,15-Jul-09,1630,3,1,1,1,1,3,1,37,1
1604,577709,426379,435438,2,1,16-Jul-09,740,3,1,1,1,1,3,1,31,1
1622,584709,441092,448810,2,1,17-Jul-09,810,4,2,1,2,1,3,1,25,1
1634,588609,430551,433449,2,1,18-Jul-09,2225,6,1,7,1,1,3,1,18,1
1641,583009,422131,433789,2,1,20-Jul-09,1930,6,1,1,1,1,3,1,11,1
1645,590209,430908,436542,2,1,20-Jul-09,1025,4,1,1,1,1,3,1,35,1
1647,597709,423129,437611,2,1,20-Jul-09,704,3,2,1,1,1,3,1,34,1
1661,589909,430691,425704,2,1,22-Jul-09,1630,6,1,1,1,1,3,1,11,1
1666,608409,430515,428118,2,1,22-Jul-09,1855,6,1,1,1,1,2,1,35,1
1673,596009,423750,438006,2,1,24-Jul-09,1415,6,1,1,1,1,3,2,12,1
1693,599509,436261,434182,3,1,26-Jul-09,1820,6,2,1,2,1,3,1,10,1
1702,619409,429526,440822,2,1,27-Jul-09,1420,6,1,1,1,1,3,1,67,1
1703,621509,440027,432377,2,1,27-Jul-09,725,3,1,1,1,1,3,2,45,1
1705,619509,425474,434287,2,1,28-Jul-09,1030,3,1,1,1,1,1,2,27,1
1706,627809,420188,441782,4,3,28-Jul-09,1950,6,2,1,2,1,3,2,43,1
1725,617009,426977,439876,2,1,31-Jul-09,1330,3,1,1,1,1,3,1,23,1
1732,622009,430441,436613,2,1,31-Jul-09,1620,4,1,1,1,1,3,1,18,1
1734,623509,436498,434148,3,1,31-Jul-09,1250,6,1,1,1,1,3,1,16,1
1757,627509,432024,435868,2,1,02-Aug-09,2000,3,1,1,1,1,3,1,34,1
1763,635309,430898,436548,2,1,03-Aug-09,755,4,1,1,1,1,3,1,48,1
1789,638809,432723,438298,2,1,05-Aug-09,2030,6,1,1,1,1,3,1,42,1
1800,641209,426123,434307,2,1,06-Aug-09,1150,6,1,1,1,1,3,1,12,1
1816,659609,426150,435588,2,1,08-Aug-09,1845,4,1,1,1,1,3,1,35,1
1844,649009,427826,436514,2,1,11-Aug-09,1715,4,1,1,1,1,3,1,22,1
1854,656709,426837,437898,2,1,12-Aug-09,1316,3,1,1,1,1,3,1,46,1
1856,660509,443079,444314,1,1,12-Aug-09,1220,6,1,1,1,1,2,2,54,1
1857,667109,425715,435158,2,1,12-Aug-09,1810,6,1,1,1,1,3,1,12,1
1868,657809,427945,436113,2,1,13-Aug-09,1600,3,1,1,1,1,2,1,66,1
1869,658109,421550,439245,2,1,13-Aug-09,1630,6,1,1,1,1,3,1,12,1
1871,686909,430130,437782,2,1,13-Aug-09,1610,3,1,1,1,1,3,1,8,1
1877,656109,433537,429825,2,1,15-Aug-09,720,3,1,1,1,1,2,1,41,1
1889,667209,431738,431420,2,1,18-Aug-09,846,3,1,1,1,1,3,1,38,1
1892,676609,427433,433442,2,1,18-Aug-09,2030,6,1,7,1,1,3,1,8,1
1893,672409,428860,433945,2,1,19-Aug-09,1710,6,1,1,1,1,3,1,25,1
1908,676809,425548,435261,2,1,20-Aug-09,1435,6,1,1,1,1,3,1,11,1
1924,677509,431409,433473,2,1,22-Aug-09,1718,6,1,1,1,1,3,1,18,1
1925,677809,428719,437082,2,1,22-Aug-09,1124,4,1,1,1,1,3,1,35,1
1949,693409,432139,435818,2,1,25-Aug-09,1545,3,1,1,1,1,3,1,15,1
2026,716509,431720,433955,2,1,01-Sep-09,1755,6,1,1,1,1,3,1,22,1
2027,717309,431272,428911,2,1,01-Sep-09,1800,6,1,1,1,1,2,1,32,1
2031,746609,427518,433834,2,1,01-Sep-09,1650,6,2,1,2,1,3,1,32,1
2036,717109,428867,432487,1,1,02-Sep-09,1505,3,2,1,2,1,3,1,29,1
2040,754309,434904,429047,2,1,02-Sep-09,1300,3,2,1,2,1,3,1,49,1
2041,758509,429778,433635,2,1,02-Sep-09,755,6,1,1,1,1,3,1,40,1
2048,722809,428912,435505,2,1,04-Sep-09,1745,3,1,1,1,1,2,1,54,1
2050,728909,431379,435350,2,2,04-Sep-09,1800,6,1,1,1,1,3,1,15,1
2051,728909,431379,435350,2,2,04-Sep-09,1800,6,1,1,1,2,3,2,16,1
2056,721109,423659,434671,2,1,05-Sep-09,1820,6,1,1,1,1,3,1,39,1
2057,721509,439029,431761,2,1,05-Sep-09,1510,3,1,1,1,1,2,1,25,1
2065,727609,420505,440240,2,1,06-Sep-09,2025,3,1,4,1,1,3,1,62,1
2070,723609,428658,434965,2,1,07-Sep-09,1804,6,1,1,1,1,3,1,25,1
2071,723809,429145,434068,2,1,07-Sep-09,930,6,1,1,1,1,3,1,35,1
2098,738609,434503,435434,3,1,09-Sep-09,1950,6,1,1,1,1,3,1,12,1
2105,772209,444906,444750,2,1,09-Sep-09,1915,3,1,1,1,1,3,1,44,1
2107,737309,431671,435358,2,1,10-Sep-09,844,3,1,1,1,1,3,1,44,1
2115,772309,440554,448560,2,1,10-Sep-09,1215,4,1,1,1,1,3,2,63,1
2120,785209,423254,435774,2,1,11-Sep-09,1210,3,1,1,1,1,3,1,29,1
2129,781209,427653,436667,2,1,12-Sep-09,1727,3,1,1,1,1,2,1,27,1
2130,750509,442103,434635,2,1,13-Sep-09,930,3,1,1,1,1,3,1,65,1
2136,764009,431348,435058,2,1,14-Sep-09,1835,3,1,1,1,1,3,2,27,1
2146,777109,423724,434194,2,1,15-Sep-09,1140,6,1,1,1,1,3,1,22,1
2152,762009,446225,429783,2,1,16-Sep-09,725,6,1,1,1,1,3,1,38,1
