"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"5580",7491,7491,"120353525",431455,434339,2,1,"07-Aug-12",900,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",37,"Bicycle",53.8041821218,-1.52232493572
"5592",7506,7506,"120357174",423380,428378,2,1,"16-Aug-12",1700,4,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Female",45,"Bicycle",53.7510251362,-1.64540066624
"5595",7511,7511,"120358089",419064,441953,2,1,"17-Aug-12",1140,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8732249041,-1.71001846291
"5619",7551,7551,"120366344",433970,436588,2,1,"22-Aug-12",1930,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.8242393569,-1.48388553248
"5627",7568,7568,"120368721",430703,439035,2,1,"23-Aug-12",2110,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",24,"Bicycle",53.8464378692,-1.53327545586
"5632",7573,7573,"120370406",442608,427573,2,1,"17-Aug-12",1730,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",46,"Bicycle",53.7425720133,-1.35390063564
"5636",7577,7577,"120370683",420830,439696,2,1,"25-Aug-12",1550,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",46,"Bicycle",53.8528693333,-1.68330960911
"5656",7610,7610,"120375977",430758,434761,2,2,"29-Aug-12",1743,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8080170396,-1.53286700828
"5658",7615,7615,"120376725",425473,432866,2,1,"30-Aug-12",811,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.7912689839,-1.61328676114
"5667",7625,7625,"120378078",436300,434114,2,1,"31-Aug-12",800,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",40,"Bicycle",53.801844113,-1.44877887989
"5674",7633,7633,"120379821",423491,445490,2,1,"01-Sep-12",1155,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",40,"Bicycle",53.9048363789,-1.64240963251
"5675",7634,7634,"120379855",431115,440547,1,1,"01-Sep-12",1200,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",53,"Bicycle",53.8600041461,-1.52685950307
"5685",7646,7646,"120383893",425438,435149,2,1,"03-Sep-12",1700,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Female",13,"Bicycle",53.811792134,-1.61362948858
"5693",7655,7655,"120386097",431071,430359,2,1,"05-Sep-12",1745,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.7684300746,-1.52855737185
"5695",7657,7657,"120386569",432703,429754,2,1,"06-Sep-12",555,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",53,"Bicycle",53.7628919723,-1.50386002519
"5705",7672,7672,"120389132",428123,426254,2,1,"07-Sep-12",1415,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.7316984424,-1.57365992023
"5712",7684,7684,"120392379",431310,428976,2,1,"10-Sep-12",522,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.7559843089,-1.52507143692
"5721",7697,7697,"120394338",428059,435959,2,1,"07-Sep-12",1844,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.8189381812,-1.57374715281
"5729",7711,7711,"120396437",428010,435996,2,1,"11-Sep-12",2330,3,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8192734069,-1.57448813487
"5733",7715,7715,"120397175",432411,431107,2,1,"13-Sep-12",701,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.7750719682,-1.50814766685
"5738",7722,7722,"120399765",425186,427268,2,1,"14-Sep-12",1740,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",46,"Bicycle",53.7409633111,-1.61810059406
"5741",7726,7726,"120400546",428236,436259,2,1,"14-Sep-12",800,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",45,"Bicycle",53.8216252154,-1.57103083348
"5742",7727,7727,"120400588",430772,436668,2,1,"14-Sep-12",945,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.8251576351,-1.53246364328
"5744",7729,7729,"120400815",426944,439692,3,1,"15-Sep-12",1517,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",53,"Bicycle",53.8525520859,-1.59035764595
"5745",7730,7730,"120400999",426819,434972,2,1,"15-Sep-12",1330,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",48,"Bicycle",53.8101317269,-1.59266986817
"5756",7746,7746,"120404363",431967,431245,2,1,"18-Sep-12",700,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.7763398615,-1.51487100585
"5761",7752,7752,"120405069",433106,433447,2,1,"18-Sep-12",750,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.7960617658,-1.49734981081
"5763",7754,7754,"120405914",441675,439863,2,1,"18-Sep-12",1820,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",47,"Bicycle",53.8531156683,-1.36638450511
"5767",7758,7758,"120407441",430475,433750,2,1,"20-Sep-12",900,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.7989461136,-1.53726494873
"5768",7759,7759,"120407492",430143,434240,2,1,"20-Sep-12",759,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.8033699303,-1.54225792125
"5784",7785,7785,"120410430",427789,434429,2,1,"21-Sep-12",1050,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",21,"Bicycle",53.8051999007,-1.57798684904
"5794",7799,7799,"120411380",426326,438441,1,2,"22-Sep-12",1915,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8413389008,-1.59986038614
"5804",7816,7816,"120413669",428027,435984,1,1,"24-Sep-12",1215,3,"Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female",18,"Bicycle",53.8191646258,-1.57423098188
"5824",7847,7847,"120418857",424526,436046,1,1,"27-Sep-12",1950,4,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Serious","Male",57,"Bicycle",53.8198989014,-1.62740975874
"5825",7848,7848,"120418951",431462,433960,2,1,"27-Sep-12",1810,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8007749836,-1.52225736482
"5830",7853,7853,"120419726",430094,431393,2,1,"28-Sep-12",1302,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",21,"Bicycle",53.77778183,-1.54328005663
"5831",7854,7854,"120419790",427897,436198,2,1,"28-Sep-12",1315,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8210952076,-1.57618639276
"5846",7875,7875,"120421308",423993,438446,2,1,"27-Sep-12",2215,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.8414968525,-1.6353193845
"5854",7887,7887,"120423968",443329,436916,2,1,"01-Oct-12",1158,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",45,"Bicycle",53.8264915835,-1.341654973
"5856",7889,7889,"120425027",430800,435339,2,1,"02-Oct-12",840,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8132100191,-1.53217131553
"5857",7890,7890,"120425168",427301,437223,2,1,"02-Oct-12",745,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.8303403069,-1.58514959914
"5872",7915,7915,"120428000",438496,430406,2,1,"19-Sep-12",1703,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",36,"Bicycle",53.7683566293,-1.41589724611
"5875",7918,7918,"120428389",429921,437002,2,1,"01-Oct-12",830,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",26,"Bicycle",53.8282095468,-1.54536040701
"5878",7922,7922,"120428994",423241,433874,1,1,"04-Oct-12",1425,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",47,"Bicycle",53.8004342167,-1.64709462412
"5882",7927,7927,"120429281",430438,437647,3,1,"01-Oct-12",1700,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Serious","Male",51,"Bicycle",53.833977214,-1.53744117198
"5887",7933,7933,"120430979",426198,435589,2,1,"05-Oct-12",1610,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.8157094575,-1.60204890483
"5897",7948,7948,"120433505",430803,435341,2,1,"07-Oct-12",1405,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",43,"Bicycle",53.8132278187,-1.53212554926
"5902",7953,7953,"120435232",419920,434112,2,1,"08-Oct-12",1729,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",51,"Bicycle",53.8027113475,-1.69750645782
"5908",7963,7963,"120435991",426871,437595,2,1,"09-Oct-12",800,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",52,"Bicycle",53.8337065303,-1.5916509263
"5909",7964,7964,"120436441",432965,439243,2,1,"09-Oct-12",1358,6,"Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male",41,"Bicycle",53.8481688364,-1.49886925663
"5913",7969,7969,"120436994",430890,436411,2,1,"09-Oct-12",1000,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8228405462,-1.53069668565
"5915",7971,7971,"120437422",430887,436397,2,1,"10-Oct-12",805,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.8227148831,-1.53074366827
"5919",7975,7975,"120438773",428061,435956,2,1,"10-Oct-12",2258,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",17,"Bicycle",53.818911107,-1.57371704481
"5923",7980,7980,"120440301",421868,434798,2,1,"11-Oct-12",1952,6,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male",16,"Bicycle",53.8087994476,-1.66787705365
"5940",8011,8011,"120445041",427975,433612,2,1,"15-Oct-12",640,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",45,"Bicycle",53.797846112,-1.5752365012
"5952",8029,8029,"120447336",428700,436764,2,1,"16-Oct-12",1330,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.8261391029,-1.56393470677
"5953",8030,8030,"120447373",430436,436615,2,1,"16-Oct-12",1515,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",27,"Bicycle",53.8247010208,-1.5375737428
"5955",8032,8032,"120448232",424492,428566,2,2,"17-Oct-12",730,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Female",24,"Bicycle",53.7526639718,-1.62852067854
"5956",8034,8034,"120448512",431355,428229,2,1,"17-Oct-12",1201,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",57,"Bicycle",53.7492669906,-1.52446471802
"5962",8042,8042,"120450179",431250,445732,2,1,"13-Oct-12",1259,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",47,"Bicycle",53.9066017981,-1.52427792687
"5979",8064,8064,"120455083",420487,445130,2,1,"21-Oct-12",1415,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",50,"Bicycle",53.9017279075,-1.68816114448
"5988",8076,8076,"120459288",425907,436257,2,1,"24-Oct-12",620,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Serious","Male",34,"Bicycle",53.821728538,-1.60641285686
"5990",8079,8079,"120463646",428906,435510,2,1,"24-Oct-12",845,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.8148558372,-1.56092271607
"6012",8114,8114,"120471770",430333,433389,2,1,"28-Oct-12",2330,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.7957094837,-1.5394565651
"6014",8116,8116,"120471999",430079,433935,2,2,"29-Oct-12",1635,6,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",36,"Bicycle",53.8006320754,-1.54325956564
"6024",8131,8131,"120475509",427034,424752,2,1,"31-Oct-12",1540,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",26,"Bicycle",53.7182547168,-1.59029977
"6035",8147,8147,"120478122",423191,434661,2,1,"02-Nov-12",1610,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.8075106607,-1.64779455657
"6040",8153,8153,"120479443",420507,440570,2,1,"01-Nov-12",1300,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8607383954,-1.68816187987
"6051",8170,8170,"120481391",426705,431761,2,1,"05-Nov-12",912,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",30,"Bicycle",53.7812745853,-1.59467964937
"6056",8176,8176,"120482436",428223,435782,2,1,"05-Nov-12",1600,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",21,"Bicycle",53.8173382977,-1.57127209487
"6067",8189,8189,"120486498",431341,428591,2,1,"08-Nov-12",832,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.7525217689,-1.52464030329
"6072",8194,8194,"120487010",427006,440070,2,1,"08-Nov-12",1625,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.8559465923,-1.58938179917
"6080",8205,8205,"120488289",434737,436847,2,1,"09-Nov-12",1330,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.8265167045,-1.47220359335
"6091",8219,8219,"120491242",430728,439082,2,1,"11-Nov-12",405,3,"Wet / Damp","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Serious","Male",40,"Bicycle",53.8468588567,-1.53289073503
"6106",8241,8241,"120495588",433973,434148,2,1,"14-Nov-12",730,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8023069152,-1.48410935225
"6121",8257,8257,"120501049",427904,435626,2,1,"15-Nov-12",1800,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.8159532749,-1.57613193988
"6135",8275,8275,"120506349",420366,440446,2,1,"17-Nov-12",1335,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8596293374,-1.69031418148
"6136",8276,8276,"120506896",429659,434609,2,1,"21-Nov-12",905,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8067145937,-1.54957199038
"6139",8280,8280,"120507954",428434,434998,2,1,"21-Nov-12",1859,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Serious","Male",21,"Bicycle",53.8102796326,-1.56813940138
"6144",8286,8286,"120508755",424071,434503,2,1,"22-Nov-12",800,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.8060504404,-1.63444250458
"6153",8300,8300,"120511229",428653,434883,2,1,"23-Nov-12",1935,6,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.8092339067,-1.56482400257
"6156",8303,8303,"120512226",429690,425693,2,1,"23-Nov-12",1910,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Female",34,"Bicycle",53.7265688434,-1.54995909851
"6160",8308,8308,"120513362",430487,435324,2,1,"25-Nov-12",540,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8130936357,-1.53692686287
"6161",8309,8309,"120514263",422223,433797,2,1,"25-Nov-12",1300,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",54,"Bicycle",53.7997865617,-1.66255780547
"6191",8351,8351,"120522045",430664,434709,2,1,"30-Nov-12",1610,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",20,"Bicycle",53.8075551783,-1.53429974897
"6210",8379,8379,"120526720",428372,432881,2,1,"04-Dec-12",728,4,"Wet / Damp","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",36,"Bicycle",53.7912538258,-1.56927609253
"6216",8390,8390,"120528454",428871,432903,2,1,"05-Dec-12",845,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.7914241317,-1.56169880321
"6224",8400,8400,"120529487",431224,434777,2,1,"05-Dec-12",1920,6,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.8081330881,-1.5257883378
"6230",8406,8406,"120531417",428824,432498,2,1,"07-Dec-12",756,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.7877862882,-1.56245018879
"6236",8414,8414,"120532553",420509,440227,2,1,"07-Dec-12",1849,3,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",45,"Bicycle",53.8576551622,-1.68815439285
"6243",8427,8427,"120533571",428717,435613,2,1,"08-Dec-12",1340,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",24,"Bicycle",53.8157921497,-1.56378388844
"6256",8443,8443,"120538355",430268,434452,2,1,"11-Dec-12",1735,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",41,"Bicycle",53.8052682785,-1.54033893509
"6260",8447,8447,"120538720",432486,434003,1,1,"11-Dec-12",2320,6,"Frost / Ice","Darkness: street lights present and lit","Other","Driver or rider","Slight","Male",51,"Bicycle",53.801098554,-1.50670426812
"6266",8459,8459,"120540529",423045,437647,2,1,"13-Dec-12",735,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.8343577394,-1.64978809846
"6269",8463,8463,"120541690",428398,434382,2,1,"29-Nov-12",130,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Serious","Male",42,"Bicycle",53.8047445337,-1.56874299005
"6309",8514,8514,"120550961",426976,432309,2,1,"20-Dec-12",645,6,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.786186477,-1.59051865171
"6322",8530,8530,"120552963",430099,431466,2,1,"20-Dec-12",1345,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",22,"Bicycle",53.7784377202,-1.54319705141
"6327",8537,8537,"120553485",433448,434803,2,1,"21-Dec-12",1555,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.8082285049,-1.49201012811
"6366",8723,8723,"130003700",431346,435145,2,1,"03-Jan-13",1700,6,"2","4","2","Driver or rider","Slight","Male",48,"Bicycle",53.8114335847,-1.52389806341
"6381",8741,8741,"130008751",420402,434121,2,1,"07-Jan-13",955,4,"2","1","1","Driver or rider","Slight","Male",34,"Bicycle",53.8027735646,-1.69018660606
"6382",8743,8743,"130009333",426898,435691,2,1,"07-Jan-13",1300,4,"1","1","1","Driver or rider","Slight","Male",20,"Bicycle",53.8165905658,-1.59140718793
"6384",8745,8745,"130009692",427024,431642,2,1,"07-Jan-13",1730,3,"1","4","1","Driver or rider","Serious","Male",38,"Bicycle",53.7801884541,-1.58984853112
"6386",8747,8747,"130009868",428381,432522,2,1,"07-Jan-13",2200,3,"1","5","1","Driver or rider","Slight","Male",23,"Bicycle",53.7880263661,-1.56917253045
"6392",8753,8753,"130011028",423018,437654,2,1,"07-Jan-13",700,3,"1","4","1","Driver or rider","Slight","Male",37,"Bicycle",53.8344218579,-1.65019788125
"6395",8758,8758,"130011680",431874,435944,2,1,"09-Jan-13",645,4,"1","7","1","Driver or rider","Slight","Male",21,"Bicycle",53.8185834313,-1.51579601906
"6397",8760,8760,"130011841",434559,434440,2,1,"09-Jan-13",730,3,"1","7","1","Driver or rider","Slight","Male",29,"Bicycle",53.8048929904,-1.47517839001
"6439",8826,8826,"130018682",422992,437678,2,1,"13-Jan-13",1615,3,"2","4","1","Driver or rider","Slight","Female",26,"Bicycle",53.8346387401,-1.65059119677
"6442",8830,8830,"130019050",430839,433997,2,1,"14-Jan-13",735,6,"2","4","1","Driver or rider","Serious","Male",35,"Bicycle",53.8011448737,-1.53171340765
"6445",8834,8834,"130019576",429978,436583,2,1,"14-Jan-13",1150,3,"3","1","3","Driver or rider","Slight","Male",35,"Bicycle",53.8244400022,-1.54453519472
"6458",8852,8852,"130025429",425888,429880,2,1,"18-Jan-13",710,3,"1","7","1","Driver or rider","Slight","Male",35,"Bicycle",53.764407851,-1.60723737023
"6462",8859,8859,"130028445",424128,444004,2,1,"20-Jan-13",1044,3,"4","1","1","Driver or rider","Slight","Male",35,"Bicycle",53.8914499362,-1.63283027627
"6468",8866,8866,"130031371",431481,435005,7,3,"22-Jan-13",1430,6,"3","1","1","Driver or rider","Slight","Male",21,"Bicycle",53.8101670136,-1.52186200182
"6473",8873,8873,"130033801",428847,436577,2,1,"24-Jan-13",900,6,"1","1","1","Driver or rider","Serious","Male",59,"Bicycle",53.8244500756,-1.5617188174
"6490",8896,8896,"130042187",422115,436438,3,1,"29-Jan-13",1700,3,"2","4","2","Driver or rider","Serious","Female",23,"Bicycle",53.8235306852,-1.66400789085
"6491",8897,8897,"130042778",419503,445030,2,1,"29-Jan-13",850,3,"1","1","1","Driver or rider","Serious","Male",37,"Bicycle",53.9008669971,-1.70314505254
"6498",8910,8910,"130044118",428753,432710,2,1,"30-Jan-13",2050,3,"2","4","1","Driver or rider","Slight","Male",32,"Bicycle",53.7896958341,-1.56350815704
"6500",8912,8912,"130044618",423474,434032,2,1,"30-Jan-13",1210,6,"2","1","4","Driver or rider","Slight","Female",41,"Bicycle",53.8018439902,-1.64354464172
"6510",8924,8924,"130048070",431434,431612,2,1,"02-Feb-13",850,6,"1","1","1","Driver or rider","Slight","Male",39,"Bicycle",53.7796711789,-1.52292205379
"6512",8927,8927,"130048467",419315,441752,2,1,"02-Feb-13",1010,3,"1","1","1","Driver or rider","Slight","Male",38,"Bicycle",53.8714088747,-1.7062132319
"6522",8938,8938,"130053414",431219,438322,2,1,"05-Feb-13",830,6,"2","1","1","Driver or rider","Slight","Male",10,"Bicycle",53.8399982079,-1.52550436631
"6524",8940,8940,"130053805",435040,433457,2,1,"04-Feb-13",630,3,"1","4","4","Driver or rider","Slight","Male",39,"Bicycle",53.7960249922,-1.46798600219
"6529",8948,8948,"130054793",429773,433364,2,1,"06-Feb-13",1326,6,"1","1","1","Driver or rider","Slight","Male",36,"Bicycle",53.7955171131,-1.54796112112
"6530",8949,8949,"130055214",420408,436670,2,1,"06-Feb-13",1745,6,"1","4","1","Driver or rider","Slight","Male",27,"Bicycle",53.8256859257,-1.68992642441
"6535",8959,8959,"130056082",430754,439186,2,1,"07-Feb-13",1028,3,"1","1","1","Driver or rider","Slight","Male",38,"Bicycle",53.8477921361,-1.53248509663
"6547",8976,8976,"130058779",445576,431494,2,1,"08-Feb-13",1755,3,"1","6","1","Driver or rider","Serious","Male",40,"Bicycle",53.7775645472,-1.30831905339
"6558",8989,8989,"130063294",420497,433957,2,1,"11-Feb-13",1745,6,"1","7","1","Driver or rider","Slight","Male",45,"Bicycle",53.8012956543,-1.68875492965
"6565",8998,8998,"130064887",430509,435242,2,1,"12-Feb-13",830,3,"1","1","1","Driver or rider","Slight","Female",42,"Bicycle",53.8123552722,-1.53660084264
"6581",9020,9020,"130069083",429754,438947,2,1,"14-Feb-13",725,3,"1","7","1","Driver or rider","Slight","Male",32,"Bicycle",53.8457021071,-1.5477094827
"6582",9021,9021,"130069572",426810,438007,2,1,"01-Feb-13",1840,3,"1","4","1","Driver or rider","Slight","Male",46,"Bicycle",53.8374130381,-1.59254194991
"6592",9040,9040,"130072940",427170,432529,2,1,"15-Feb-13",625,6,"1","4","1","Driver or rider","Slight","Male",43,"Bicycle",53.7881539206,-1.58755452307
"6596",9045,9045,"130075443",421554,428496,2,1,"19-Feb-13",1600,3,"1","1","1","Driver or rider","Slight","Male",39,"Bicycle",53.7521645552,-1.67308645558
"6619",9074,9074,"130084674",427660,436648,2,1,"25-Feb-13",1630,3,"1","1","1","Driver or rider","Slight","Male",60,"Bicycle",53.8251528032,-1.57974633419
"6625",9081,9081,"130086154",427995,436018,2,1,"25-Feb-13",1700,6,"1","7","1","Driver or rider","Slight","Male",20,"Bicycle",53.819471967,-1.57471399703
"6630",9088,9088,"130088740",432348,433686,2,1,"28-Feb-13",725,3,"1","7","1","Driver or rider","Slight","Male",29,"Bicycle",53.7982577426,-1.50883299356
"6631",9089,9089,"130089176",436104,435588,2,1,"28-Feb-13",1150,3,"1","1","1","Driver or rider","Slight","Male",38,"Bicycle",53.8151069289,-1.4515821192
"6655",9126,9126,"130093954",428523,426060,2,1,"03-Mar-13",1240,3,"1","1","1","Driver or rider","Slight","Male",41,"Bicycle",53.7299328791,-1.56761406838
"6677",9161,9161,"130100919",430437,436612,2,1,"07-Mar-13",1915,4,"2","4","2","Driver or rider","Slight","Male",28,"Bicycle",53.8246739961,-1.53755884691
"6678",9162,9162,"130100931",423604,434588,2,1,"07-Mar-13",1945,4,"2","4","2","Driver or rider","Slight","Male",32,"Bicycle",53.8068358953,-1.64152799108
"6681",9165,9165,"130101808",428405,434382,2,1,"08-Mar-13",645,6,"2","7","2","Driver or rider","Slight","Male",31,"Bicycle",53.8047441514,-1.56863669014
"6684",9168,9168,"130103649",431520,435143,3,1,"09-Mar-13",1440,3,"2","1","1","Driver or rider","Slight","Male",30,"Bicycle",53.8114050889,-1.52125555275
"6701",9189,9189,"130108403",421615,434392,2,1,"12-Mar-13",1805,6,"2","4","1","Driver or rider","Serious","Male",29,"Bicycle",53.8051605514,-1.6717479619
"6702",9190,9190,"130108534",428433,434998,2,1,"12-Mar-13",2127,6,"1","4","1","Driver or rider","Slight","Female",24,"Bicycle",53.8102796873,-1.56815458908
"6703",9191,9191,"130108975",428099,434508,2,1,"13-Mar-13",900,6,"1","1","1","Driver or rider","Slight","Male",29,"Bicycle",53.8058933562,-1.57327201638
"6721",9213,9213,"130114717",427611,441659,2,1,"16-Mar-13",1614,6,"1","1","1","Driver or rider","Slight","Male",38,"Bicycle",53.8701977695,-1.58004020765
