"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"574",14061,14061,"308409",426126,435588,2,1,"20-Apr-09",1130,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",61,"Bicycle",53.8157040919,-1.60314265036
"583",14080,14080,"315309",441360,430950,2,1,"21-Apr-09",1510,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",47,"Bicycle",53.7730268063,-1.37237139168
"585",14083,14083,"316209",429147,433500,3,1,"22-Apr-09",1750,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.7967750292,-1.55745239795
"587",14086,14086,"316909",428001,436006,2,1,"22-Apr-09",1740,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",44,"Bicycle",53.8193637791,-1.57462394322
"588",14087,14087,"317409",428718,435611,2,1,"20-Apr-09",1220,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",29,"Bicycle",53.815774117,-1.56376888544
"598",14109,14109,"322609",428478,435151,2,1,"21-Apr-09",1845,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",33,"Bicycle",53.8116525016,-1.56745698428
"600",14111,14111,"324109",428382,436742,2,1,"22-Apr-09",2310,4,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",25,"Bicycle",53.8259588152,-1.56876825021
"612",14126,14126,"329109",431636,435163,2,1,"25-Apr-09",1643,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",6,"Bicycle",53.8115778178,-1.51949168804
"622",14141,14141,"335609",428331,435751,2,1,"29-Apr-09",1830,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",23,"Bicycle",53.8170537726,-1.56963440211
"629",14151,14151,"342909",428059,435959,2,1,"28-Apr-09",1455,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.8189381812,-1.57374715281
"640",14170,14170,"345409",436954,435625,2,1,"02-May-09",1430,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",74,"Bicycle",53.8153797841,-1.43866689402
"643",14173,14173,"345809",424579,435155,2,1,"14-Jan-09",1300,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",43,"Bicycle",53.8118873815,-1.62667580444
"646",14176,14176,"346309",428124,434503,2,1,"01-May-09",850,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8058470612,-1.57289282005
"648",14178,14178,"346809",433306,434031,2,1,"28-Apr-09",1730,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8012983791,-1.4942501727
"679",14227,14227,"358409",428106,426257,2,1,"06-May-09",1525,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.7317263255,-1.57391735692
"685",14235,14235,"362509",429017,433472,2,1,"28-Apr-09",748,3,"Dry","Daylight: street lights present","Unknown","Passenger","Slight","Female",51,"Bicycle",53.7965306112,-1.55942880017
"700",14266,14266,"372809",429796,433780,2,1,"09-May-09",1714,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",15,"Bicycle",53.7992551096,-1.54757168324
"701",14268,14268,"373109",426736,433835,2,1,"11-May-09",1500,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.799915762,-1.5940291913
"704",14272,14272,"374809",427808,435824,2,1,"09-May-09",240,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.8177381892,-1.57757226002
"705",14274,14274,"375909",426070,440082,2,1,"11-May-09",1805,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",47,"Bicycle",53.8561023051,-1.60361199952
"708",14277,14277,"377709",442182,430333,2,1,"12-May-09",1730,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",17,"Bicycle",53.7674149652,-1.35998293979
"711",14282,14282,"379309",432375,438796,2,1,"07-May-09",1025,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",40,"Bicycle",53.8441880475,-1.50788513663
"714",14289,14289,"379809",431270,432348,2,1,"27-Apr-09",1635,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.7862967589,-1.52533635005
"731",14316,14316,"389909",431928,432895,2,1,"17-May-09",1505,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",16,"Bicycle",53.7911736305,-1.51529193985
"749",14354,14354,"399809",429905,434282,2,1,"14-May-09",1525,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",27,"Bicycle",53.803761195,-1.54586790903
"764",14374,14374,"405209",432823,435664,2,1,"20-May-09",2023,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",9,"Bicycle",53.8160075571,-1.50141004788
"775",14389,14389,"409709",428118,435899,2,1,"24-May-09",1230,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",43,"Bicycle",53.8183956693,-1.57285637782
"779",14395,14395,"412009",428227,436523,2,1,"18-May-09",1900,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",59,"Bicycle",53.8239987273,-1.57114332774
"781",14397,14397,"412509",428236,436521,2,1,"21-May-09",1730,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",40,"Bicycle",53.8239802609,-1.57100677738
