Reference Number,Crossing Type,Street Name,Easting,Northing,Postcode
123L,Junction Crossing,WOODHOUSE LN  / MERRION ST  / GREAT GEORGE ST,430048,433955,LS2 8BB
128L,Junction Crossing,COOKRIDGE ST / GRT GEORGE ST  /  ST ANNES CATHEDRAL,429901,433935,LS1 3DW
129L,Junction Crossing,WOODHOUSE LN  / COOKRIDGE ST  / CLAYPIT LN,429997,434148,LS2 8BH
130L,Junction Crossing,REGENT ST/ NEW YORK RD / EASTGATE FLYOVER (CONTROLLER 2),430798,433808,LS2 7UP
131L,Junction Crossing,WOODHOUSE LANE / PORTLAND WAY,429898,434285,LS2 8NQ
785L,Junction Crossing,WHITEHALL ROAD / BACK LANE / GILDERSOME LANE,424144,430420,LS12 6JL
132L,Junction Crossing,VICAR LN / NORTH ST/ NEW BRIGGATE / NEW YORK RD / I.R.R,430458,433972,LS2 8JS
369L,Junction Crossing,BRIDGE RD / SAVINS MILL WAY     KIRKSTALL,426160,435567,LS5 3RP
462L,Junction Crossing,SCOTT HALL ROAD / STREET LANE,430326,438601,LS17 6QA
463L,Junction Crossing,ROUNDHAY RD/ HAREHILLS LANE / FFORDE GRENE SITE A,431960,435799,LS8 4HS
464L,Junction Crossing,ROUNDHAY RD /  EASTERLY RD / FFORDE GRENE SITE B,432034,435846,LS8 2SH
467L,Junction Crossing,NORTH STREET / BYRON STREET,430587,434148,LS2 7PN
468L,Junction Crossing,SCOTT HALL ROAD / MILES HILL VIEW,429890,436866,LS7 2EF
469L,Junction Crossing,STAINBECK ROAD / STAINBECK AVE / POTTERNEWTON LANE,428988,436859,LS7 2TQ
258L,Junction Crossing,CLAYPIT LANE / MERRION WAY,430046,434155,LS2 8NG
570L,Junction Crossing,A64 / YORK ROAD / OAK TREE LANE,434672,434557,LS14 6UF
791L,Junction Crossing,"Fall Lane - Meadowside Road, East Ardsley",431094,426056,WF3 2EZ
670L,Junction Crossing,MOOR ROAD / HILLIDGE ROAD,430630,431470,LS10 2BG
664L,Junction Crossing,Aire Valley Way / Knowsthorpe Ln / Jun B,431933,432308,LS9 0PF
672L,Junction Crossing,HUNSLET DISTRIBUTOR / S.E. MOTORWAY OFFSLIP,430577,431814,LS10 1AG
184L,Junction Crossing,SHEEPSCAR ST SOUTH  /  NORTH ST LINK,430766,434603,LS7 1AD
186L,Junction Crossing,REGENT STREET / BYRON STREET,430833,434093,LS2 7QN
190L,Junction Crossing,REGENT ST /  FLYOVER / QUARRY HILL ACCESS CONTROLLER 1,430800,433805,LS2 7UP
191L,Junction Crossing,EASTGATE ROUNDABOUT / SLAVE CONTROLLER,430678,433717,LS2 7QX
192L,Junction Crossing,WOODHOUSE LANE / ROSSINGTON STREET / BUS GATE,430042,434000,LS2 8BB
194L,Junction Crossing,AIRE STREET / WHITEHALL ROAD,429501,433331,LS1 4DL
195L,Junction Crossing,WESTGATE / HEADROW / PARK ST,429530,433810,LS1 2RA
197L,Junction Crossing,CALVERLEY ST / PORTLAND ST,429788,433980,LS1 3EX
198L,Junction Crossing,WOODHOUSE LANE / CAR PARK /  BUS GATE,429916,434371,LS2 3AX
199L,Junction Crossing,INFIRMARY STREET / BUS STATION CROSSING,429860,433548,LS1 2JP
347L,Junction Crossing,A6120 / LAWNSWOOD BUSINESS PARK / O.R.R,426110,438111,LS16 6EB
348L,Junction Crossing,CLARENDON ROAD / MOORLAND ROAD,429087,434700,LS2 9LA
448L,Junction Crossing,SCOTT HALL ROAD / PETROL STATION / STAINBECK ROAD,430121,437503,LS7 3QJ
449L,Junction Crossing,SCOTT HALL ROAD / STAINBECK LANE / GUIDED BUS ENTRY,429895,436968,LS7 2EE
628L,Junction Crossing,RICHMOND STREET / EAST STREET,430990,433151,LS9 8BP
637L,Junction Crossing,MARSH LANE / SAXTON LANE,430961,433423,LS9 8HE
638L,Junction Crossing,MARSH LANE / MILL STREET,430940,433300,LS9 8PA
646L,Junction Crossing,BUTCHER LANE / MARSH STREET / CARLTON LANE,434427,427963,LS26 0DA
647L,Junction Crossing,"GILLETT LANE / MARSH LN, ROTHWELL",434691,428185,LS26 0EG
648L,Junction Crossing,A639 / HOLMSLEY LANE / HAIGH ROAD,435197,428930,LS26 8SF
650L,Junction Crossing,"EAST ST.  /  EASY RD.  /  ""K&Q""",431415,432709,LS9 8LH
652L,Junction Crossing,"EAST ST. GYRATORY  / ""L&M""",431493,432632,LS9 0DQ
653L,Junction Crossing,KNOWSTHORPE CRES. / SOUTH ACCOMMODATION RD.,431537,432527,LS9 0DQ
654L,Junction Crossing,SOUTH ACCOMM. RD.  /  HAMMOND ST,431488,432536,LS9 0DQ
655L,Junction Crossing,"SOUTH ACCOMM. RD. / BRIDGEWATER RD. (JUNC.""R"")",431490,432439,LS9 0RQ
700L,Junction Crossing,DEWSBURY ROAD / HUNSLET HALL ROAD / MOOR ROAD,430103,431754,LS11 5NN
701L,Junction Crossing,DEWSBURY RD  / OLD LN  / BEESTON RING RD  / TOMMY WASS,428931,429825,LS11 5QX
702L,Junction Crossing,DEWSBURY ROAD / TUNSTALL ROAD,430094,431204,LS11 5HZ
703L,Junction Crossing,ELLAND RD / LOWFIELDS RD / WESLEY ST / LEEDS UNITED,428471,431368,LS11 0EW
706L,Junction Crossing,DEWSBURY ROAD / MIDDLETON GROVE,429751,430547,LS11 5LQ
708L,Junction Crossing,DEWSBURY ROAD / WESTLAND ROAD / BROADWAY HOTEL,429483,430217,LS11 5LE
711L,Junction Crossing,CEMETERY RD / BEESTON RD / TEMPEST RD,429406,431366,LS11 8BS
713L,Junction Crossing,DEWSBURY RD / GARNET RD / FIRE STATION,429963,430868,LS11 5UY
715L,Junction Crossing,TUNSTALL ROAD / GARNET ROAD,430324,431191,LS11 5EF
717L,Junction Crossing,A6110 / BEESTON RING ROAD /  RETAIL PARK,427687,430895,LS11 0BD
725L,Junction Crossing,A6110 / ELLAND ROAD / CEMETERY GATES,427783,430662,LS11 0JG
726L,Junction Crossing,ELLAND ROAD / POLICE HQ,428035,431121,LS11 0ES
750L,Junction Crossing,QUEEN STREET/ FOUNTAIN STREET / MORLEY,426510,427480,LS27 9AJ
751L,Junction Crossing,DRIGHLINGTON CROSS ROADS / A58 / BRADFORD ROAD / Whitehall road / King St,422403,428995,BD11 1AB
753L,Junction Crossing,A650 / A643 / BRUNTCLIFFE CROSS ROADS,424915,427683,LS27 0LY
756L,Junction Crossing,DEWSBURY ROAD / REIN ROAD,427517,425506,WF3 1LT
760L,Junction Crossing,A650 SMITHY LANE / BRADFORD ROAD / THORPE LANE,428884,425972,WF3 1NJ
761L,Junction Crossing,DEWSBURY ROAD / LOWERY ROAD / HESKETH LN,427768,425817,WF3 1AU
762L,Junction Crossing,A650 BRITANNIA RD / HOWLEY PARK RD / CO-OPERATIVE ROAD,425970,426797,LS27 0AR
763L,Junction Crossing,WIDE LANE DISTRIBUTOR / MAGPIE LANE,427714,427912,LS27 8TE
764L,Junction Crossing,A650 / FOUNTAIN STREET / SCOTCHMAN LANE,425649,426867,LS27 0BE
766L,Junction Crossing,A643 / BRUNTCLIFFE LANE / CORPORATION STREET,425757,428119,LS27 9AB
769L,Junction Crossing,TINGLEY ROUNDABOUT/ JUNCTION 1+2,428143,426272,WF3 1QX
770L,Junction Crossing,TINGLEY ROUNDABOUT / JUNCTION 3+4,428017,426226,WF3 1QU
771L,Junction Crossing,TINGLEY ROUNDABOUT / JUNCTION 5+6,428071,426554,WF3 1EL
773L,Junction Crossing,MILLSHAW ROAD / BEESTON RING RD,428076,430016,LS11 8EH
776L,Junction Crossing,A62 /GELDERD ROAD / ASQUITH AVENUE/BRANCH END,425134,428988,LS27 7LW
777L,Junction Crossing,TOPCLIFFE / DEWSBURY ROAD / TINGLEY,428104,426670,WF3 1EL
800L,Junction Crossing,CHURCH LANE / LOWTOWN  / ROBIN LANE / LIDGETT HILL,422297,433420,LS28 7LG
801L,Junction Crossing,"CHURCH LANE / MARKET PLACE, PUDSEY",422221,433326,LS28 7BD
806L,Junction Crossing,SWINNOW  LANE / SWINNOW  ROAD,423473,434014,LS13 4RJ
851L,Junction Crossing,LEEDS ROAD / HARROGATE RD / RAWDON CROSSROADS,420812,439693,LS19 6DD
852L,Junction Crossing,A660 / KIRKGATE / MANOR SQUARE / BEECH HILL,420160,445569,LS21 3AP
854L,Junction Crossing,HIGH STREET / HARROGATE ROAD / BAYTON LANE,421628,440854,LS19 7BN
855L,Junction Crossing,LEEDS ROAD / OXFORD ROAD STATION HOTEL,418966,441996,LS20 8AF
663L,Junction Crossing,"A61 SHARP LANE/ COPLEY LANE,",432532,427559,WF3 3AJ
665L,Junction Crossing,East  Leeds Link Rd / Jun CDF / Aire Valley Way,432320,432605,LS9 0SG
580L,Junction Crossing,COLTON RETAIL PARK - SAINSBURYS,437492,433055,LS15 9JE
450L,Junction Crossing,HARROGATE RD / CHAPELTOWN RD / POTTERNEWTON LA,430883,436579,LS7 4LA
454L,Junction Crossing,A6120 / O.R.R / TONGUE LANE / BLACKMOOR ROAD,429186,438597,LS17 5EF
456L,Junction Crossing,BURMANTOFTS STREET / NIPPET LANE / BECKETT STREET,431343,433962,LS9 7SY
459L,Junction Crossing,HARROGATE  ROAD / SHADWELL  LANE / CHAINED BULL,430752,438814,LS17 6DW
500L,Junction Crossing,HAREHILLS LANE / COMPTON ROAD,432416,434841,LS9 7BG
503L,Junction Crossing,YORK ROAD / GIPTON APPROACH / DOG & GUN,433427,434063,LS9 6Nl
509L,Junction Crossing,HAREHILLS LANE / HAREHILLS AVENUE,431877,435954,LS8 4DN
514L,Junction Crossing,A64 / YORK ROAD / HIGHWAY FLATS,434135,434249,LS14 6UF
368L,Junction Crossing,SAVINS MILL WAY / MORRISONs,426160,435564,LS5 3RP
471L,Junction Crossing,SCOTT HALL ROAD / BUSLINGTHORPE LANE,430457,435393,LS7  2DA
475L,Junction Crossing,STONEGATE RD. / PARKSIDE RD. / MEANWOOD,429020,437525,LS6 4LZ
477L,Junction Crossing,HAREHILLS LANE / CHAPEL ALLERTON DEVELOPMENT/Mansion Gate,430970,436538,LS7 4SX
870L,Junction Crossing,OTLEY OLD ROAD / TINSHILL LANE / COOKRIDGE FIRE STATION,425581,439744,LS16 6JS
874L,Junction Crossing,A65 LEEDS ROAD /  THE GREEN,419290,441759,LS20 8AH
877L,Junction Crossing,AIREBOROUGH GRAMMAR SCHOOL /  A65  / KIRK LANE,419834,441207,LS19 7ET
903L,Junction Crossing,HARROGATE RD / WIGTON LANE / ALWOODLEY GATES /  ALWOODLEY LANE,431151,440716,LS17 7DQ
904L,Junction Crossing,A61 HARROGATE ROAD / HAREWOOD AVENUE /  HAREWOOD HOUSE,432212,444964,LS17 9LD
906L,Junction Crossing,COAL ROAD / HAWTHORNE FARM INDUSTRIAL ESTATE,435558,437635,LS14 1PQ
