Reference Number,Crossing Type,Street Name,Easting,Northing,Postcode
907L,Pedestrian Crossing,HARROGATE ROAD /  PRIMLEY PARK AVENUE,430856,439701,LS17 8BT
908L,Pedestrian Crossing,MARKET PLACE / WESTGATE,440340,448224,LS22 6LQ
909L,Pedestrian Crossing,HARROGATE ROAD/SANDHILL MOUNT,430973,440074,LS17 8DP
910L,Pedestrian Crossing,A58 WETHERBY ROAD /  RED HALL LANE,434994,438368,LS17 8NE
912L,Pedestrian Crossing,HIGH STREET / WETHERBY,440444,448201,LS22 6LT
913L,Pedestrian Crossing,"HIGH STREET, BOSTON SPA",443048,445605,LS23 6BH
914L,Pedestrian Crossing,HAREWOOD BRIDGE VSM SIGN /  NORTH OF BRIDGE,431205,446212,LS17 9LW
915L,Pedestrian Crossing,HAREWOOD BRIDGE VMS SIGN / SOUTH OF BRIDGE,431228,445931,LS17 9LW
951L,Pedestrian Crossing,BARWICK ROAD  / PENDAS WAY,437008,435632,LS15 8SQ
954L,Pedestrian Crossing,A642  ABERFORD ROAD / LOTHERTON WAY,440844,433577,LS25 1PZ
256L,Pedestrian Crossing,LOVELL PARK ROAD NEAR GRAFTON STREET,430413,434249,LS2 8DA
814L,Pedestrian Crossing,CHAPELTOWN / CARLISLE ROAD,421935,432977,LS28 7RZ
569L,Pedestrian Crossing,A64 YORK ROAD / HOPE INN,431525,433607,LS9 9AA
888L,Pedestrian Crossing,"PARK ROAD NEAR SILVERDALE AVENUE, GUISELEY",419025,441752,LS20 8BD
517L,Pedestrian Crossing,OAKWOOD LANE /  DIB LANE,433552,435935,LS8 3ET
373L,Pedestrian Crossing,RAWDON ROAD / HALL LANE,422698,437833,LS18 8EA
961L,Pedestrian Crossing,"PARK LANE, ALLERTON BYWATER",441992,428060,WF10 2DR
816L,Pedestrian Crossing,"GALLOWAY LANE / EDEROYD RISE, PUDSEY",420385,434134,LS28 8JR
817L,Pedestrian Crossing,"A657 / TOWN GATE, CALVERLEY",420791,437145,LS28 5NF
815L,Pedestrian Crossing,"SWINNOW ROAD NEAR BRITANNIA COURT - SWINNOW PRIMARY SCHOOL, PUDSEY",423165,433822,LS13 4PR
680L,Pedestrian Crossing,A61 / WAKEFIELD ROAD / LEEDS VALLEY PARK,432519,429672,LS26 0TG
385L,Pedestrian Crossing,A660 OTLEY ROAD / LAWNSWOOD HIGH SCHOOL,426827,437893,LS16 5AG
263L,Pedestrian Crossing,DOMESTIC STREET / SHAFTON LANE,429077,432209,LS11 9SG
926L,Pedestrian Crossing,"CASTLE GATE / MARKET PLACE, WETHERBY",440372,448085,LS22 6LQ
890L,Pedestrian Crossing,"HARROGATE ROAD NEAR GREEN LANE, YEADON",421388,440496,LS19 7BP
891L,Pedestrian Crossing,"BRADFORD ROAD NEAR SCARBOROUGH ROAD, WESTGATE, OTLEY",419615,445167,LS21 3JZ
384L,Pedestrian Crossing,BURLEY STREET / RUTLAND MOUNT,428952,433862,LS3 1LY
383L,Pedestrian Crossing,BURLEY ST /  PARK LANE,428843,433960,LS3 1BS
382L,Pedestrian Crossing,BURLEY ROAD HOLLIS PLACE,428606,434216,LS3 1JP
574L,Pedestrian Crossing,"CRACKED EGG / SELBY ROAD, TOUCAN",437644,433152,LS15 8QN
892L,Pedestrian Crossing,A65 OTLEY RD / WHITE CROSS PH,418156,442497,LS20  8LZ
893L,Pedestrian Crossing,A65 OTLEY RD / HARRY RAMSDENS,418121,442527,LS20 8LZ
894L,Pedestrian Crossing,A6038 BRADFORD RD / WHITE CROSS PH,418156,442432,LS20 8LY
794L,Pedestrian Crossing,"A650 BRADFORD RD / ROYSTON HILL, EAST ARDSLEY.",430487,425032,WF3 2HF
883L,Pedestrian Crossing,"BRADFORD ROAD / THE OVAL, GUISELEY",418311,441710,LS20 8JZ
376L,Pedestrian Crossing,HANOVER WAY / PARK LANE COLLEGE,429236,433892,LS3 1AW
479L,Pedestrian Crossing,SHADWELL LANE PUFFIN,431345,439423,LS17 8AE
790L,Pedestrian Crossing,"A643 /VICTORIA ROAD / VICTORIA AVENUE, MORLEY",426852,429143,LS27 9HR
922L,Pedestrian Crossing,A58 WETHERBY ROAD / THORNER LANE,436497,441827,LS14 9JR
924L,Pedestrian Crossing,KING LANE / NURSERY LANE,429348,439556,LS17 5HX
918L,Pedestrian Crossing,KING LANE / ALLERTON HIGH SCHOOL,429486,439357,LS17 5LA
789L,Pedestrian Crossing,A650 BRADFORD ROAD / BRAYSHAW ROAD,430187,425121,WF3 2JA
377L,Pedestrian Crossing,ABBEY WALK /  VESPER LANE,425931,436314,LS5 3Ej
886L,Pedestrian Crossing,NEW ROAD SIDE / DERBY RD / LITTLEMOOR PRIMARY SCHOOL,420694,439924,LS19 6DD
257L,Pedestrian Crossing,WHITEHALL ROAD NEAR DRAGON BRIDGE,427752,432084,LS12 4TJ
523L,Pedestrian Crossing,A6120 / RING RD / LIMEWOOD APPROACH,435476,437257,LS14 2AL
524L,Pedestrian Crossing,LUPTON AVENUE / TORRE LANE,432447,433842,LS9 6ED
525L,Pedestrian Crossing,A63 / SELBY RD / TEMPLE GATE,435974,433597,LS15 7SJ
526L,Pedestrian Crossing,A63 / SELBY ROAD / IRWIN APPROACH,434961,433421,LS15 7HW
527L,Pedestrian Crossing,HAREHILLS ROAD / BAYSWATER GROVE / ASHTON STREET,431894,435019,LS8 5BW
529L,Pedestrian Crossing,LUPTON AVENUE / HUDSON ROAD,432542,434307,LS9 6EE
530L,Pedestrian Crossing,CROSSGATES RD / NEAR POOL RD,435691,434806,LS15 7NL
531L,Pedestrian Crossing,STONEY ROCK LANE /  NEAR SHAKESPEARE AVENUE,431753,434228,LS9 7JH
533L,Pedestrian Crossing,COMPTON RD / HUDSON RD / FLORENCE ST / STANLEY RD,432233,434660,LS9 6DF
534L,Pedestrian Crossing,A6120 / STATION ROAD / CROSSGATES,436201,434379,LS15 8BZ
535L,Pedestrian Crossing,IVY ST / IVY AVENUE,432434,433561,LS9 9BS
536L,Pedestrian Crossing,NORTH PARKWAY / SEACROFT ARCADE,435742,436373,LS14 6LW
537L,Pedestrian Crossing,BECKETT ST / ST JAMES HOSPITAL,431735,434571,LS9 7JX
539L,Pedestrian Crossing,A64 / YORK ROAD / MORESDALE LANE / SANDWAY,435480,434961,LS14 6EA
541L,Pedestrian Crossing,A63 / SELBY ROAD / GROVE ROAD,435021,433458,LS15 7JR
547L,Pedestrian Crossing,TORRE DRIVE / LUPTON AVENUE,432494,434086,LS9 6EE
548L,Pedestrian Crossing,HALTON MOOR AVENUE / NEAR NEVILLE ROAD,433827,433501,LS9 0HB
549L,Pedestrian Crossing,A6120 / WHITKIRK LANE / OUTER RING ROAD,436818,433719,LS15 7AE
550L,Pedestrian Crossing,GIPTON APPROACH / FIRE STATION  WIG WAG,433445,434102,LS9 6NL
551L,Pedestrian Crossing,A63 / SELBY RD /  STILE HILL,437224,433413,LS15 9HH
552L,Pedestrian Crossing,A64 / YORK ROAD / INGLEWOOD DRIVE,435628,435067,LS14 6JS
554L,Pedestrian Crossing,NORTH PARK FARM ROAD /  OAK TREE DRIVE,433178,435256,LS8 3LZ
555L,Pedestrian Crossing,A63 / SELBY ROAD / PINFOLD LANE - TOUCAN,435568,433614,LS15 7TB
556L,Pedestrian Crossing,SELBY ROAD / THORPE PARK PUFFIN /  COLTON,437463,433299,LS15 8QN
557L,Pedestrian Crossing,HAREHILLS LANE / BACK ST ALBAN CRESCENT,433045,434094,LS9 6NG
602L,Pedestrian Crossing,EAST PARK PARADE / LONDESBORO GROVE,432370,433212,LS9 9NE
603L,Pedestrian Crossing,ABERFORD RD / WAKEFIELD RD / ASTLEY LN / CHURCH LN,438446,430370,LS26 8DS
611L,Pedestrian Crossing,CHURCH STREET /  NEAR GROVE ROAD / WATERLOO ROAD,431186,431448,LS10 2PE
612L,Pedestrian Crossing,CROSS GREEN LANE / GLENCOE VIEW / NEAR SCHOOL,431948,432595,LS9 0BJ
613L,Pedestrian Crossing,WOODLESFORD ABERFORD RD / KWIKSAVE SUPERSTORE,436365,428347,LS26 8HP
614L,Pedestrian Crossing,WOODLESFORD / ABERFORD RD / AIREDALE RD,436676,428704,LS26 6LG
615L,Pedestrian Crossing,SELBY RD /  NEAR SCHOOL LN  / HALTON PRIMARY SCHOOL,435359,433573,LS15 7JS
616L,Pedestrian Crossing,BELLE ISLE RD / BALM RD / WOODHOUSE HILL RD,431025,430752,LS10 2DH
623L,Pedestrian Crossing,HUNSLET ROAD / LOW ROAD / HIGHGATE STREET,431193,431851,LS10 1QR
122L,Pedestrian Crossing,Wellington St / Lumiere,429586,433444,LS1 2EE

