Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Latitude,Longitude
1025509,431583,426814,2,1,07-Dec-09,1600,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,72,Car,53.7365341,-1.521151586
1025909,443630,436726,9,4,07-Dec-09,655,2,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Slight,Female,39,Car,53.82475861,-1.337108846
1026409,431086,433547,2,1,07-Dec-09,1520,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,58,Car,53.79708525,-1.528008304
1027009,430884,436397,3,2,07-Dec-09,1815,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,20,Car,53.82271506,-1.530789245
1027209,435369,436555,1,1,06-Dec-09,1730,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,13,Car,53.82384941,-1.462634991
1027309,429737,430547,1,1,09-Dec-09,750,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,12,Car,53.77019784,-1.548779427
1028709,425245,434985,2,1,09-Dec-09,720,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,16,Motorcycle,53.81032738,-1.616574291
1029209,430780,438443,2,1,09-Dec-09,1510,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,42,Car,53.84111203,-1.532164329
1031109,429819,426400,2,1,09-Dec-09,1515,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,42,Car,53.73291659,-1.547935614
1031609,428433,434999,2,1,10-Dec-09,1210,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Bicycle,53.81028868,-1.568154497
1031809,428746,434431,1,1,13-Nov-09,2030,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,45,Taxi,53.80516586,-1.563453794
1033309,436066,436898,1,1,11-Dec-09,1230,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,72,Bus or Coach,53.82688459,-1.452005691
1033409,427896,434623,1,1,11-Dec-09,1635,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,18,Car,53.80693799,-1.576344379
1033609,429920,426399,3,2,09-Dec-09,1625,1,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,35,Car,53.73290182,-1.546404575
1034709,426918,439555,3,2,12-Dec-09,1826,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,28,Car,53.85132198,-1.590764938
1034809,430253,433910,1,1,09-Dec-09,1837,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,25,Bus or Coach,53.80039727,-1.540619978
1035209,430191,434345,2,2,12-Dec-09,1505,2,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,53,Car,53.80431096,-1.541518738
1037109,427552,426319,5,1,11-Dec-09,2025,1,Wet / Damp,Darkness: street lights present and lit,Other,Passenger,Slight,Female,21,Car,53.7323132,-1.582310139
1038409,424780,434832,2,1,11-Dec-09,910,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,43,Car,53.80897446,-1.623648946
1039409,427590,431029,2,1,08-Dec-09,700,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,36,Car,53.77464863,-1.581313273
1039609,431993,428408,2,1,09-Dec-09,944,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,22,Car,53.7508372,-1.514770539
1039809,427806,425853,2,1,13-Dec-09,1605,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,36,Car,53.7281109,-1.5785015
1040809,426431,427675,1,1,12-Dec-09,1208,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,33,Car,53.74456015,-1.599188141
1041709,424948,436736,1,1,12-Dec-09,1756,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,27,Car,53.82608108,-1.620943061
1042109,422667,432357,1,1,11-Dec-09,1004,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,49,Goods Vehicle,53.78682345,-1.65592203
1043709,427705,434717,2,4,14-Dec-09,2120,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,18,Car,53.80779314,-1.579236543
1044909,430263,426183,2,1,12-Dec-09,30,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,31,Taxi,53.73094044,-1.541225923
1045209,431493,433966,3,4,09-Dec-09,1553,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,25,Car,53.80082704,-1.521786042
1045309,432213,435172,1,1,09-Dec-09,1900,4,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,16,Car,53.81162329,-1.51072724
1046009,429237,433166,2,1,09-Dec-09,745,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,38,Motorcycle,53.79376774,-1.556117648
1046109,440676,428783,2,1,14-Dec-09,140,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,18,Motorcycle,53.75360251,-1.383035867
1046209,429635,433801,1,1,10-Dec-09,1215,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,16,Car,53.79945307,-1.550014235
1046509,434603,434479,1,1,12-Dec-09,1759,3,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,34,Car,53.80524062,-1.474505842
1046609,428526,434276,2,1,14-Dec-09,1955,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,21,Bicycle,53.80378472,-1.566809042
1046909,436362,434698,2,2,14-Dec-09,1105,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,35,Car,53.80708912,-1.447768472
1047009,430450,433359,1,2,13-Dec-09,300,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,23,Car,53.79543299,-1.537683193
1047109,430084,435429,1,1,11-Dec-09,1657,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,24,Taxi,53.81406092,-1.543037629
1047409,431480,428569,2,1,06-Dec-09,1155,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,32,Car,53.75231564,-1.522534366
1047809,438162,431743,2,4,13-Dec-09,1150,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,58,Bus or Coach,53.78039895,-1.420799338
1048009,430445,424201,2,1,08-Dec-09,1725,1,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,25,Car,53.71311397,-1.538662009
1048209,434440,428265,1,1,10-Dec-09,2015,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,17,Car,53.74939585,-1.477675112
1049209,441062,449169,2,2,09-Dec-09,1230,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Female,57,Car,53.93680993,-1.374455774
1049509,432243,429048,2,1,10-Dec-09,1725,1,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,49,Car,53.7565746,-1.510912183
1049809,430876,434248,2,1,10-Dec-09,1600,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,45,Motorcycle,53.80339884,-1.531126418
1049909,430214,435117,3,1,18-Dec-09,925,6,Snow,Daylight: street lights present,Snowing without high winds,Driver or rider,Slight,Female,27,Car,53.81124891,-1.541093692
1051109,431960,438842,2,1,25-Nov-09,1208,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,83,Car,53.84462723,-1.514188289
1051309,436154,434714,3,1,14-Dec-09,1755,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,34,Car,53.80724744,-1.450925339
1051909,430702,433603,2,1,06-Dec-09,230,3,Wet / Damp,Darkness: street lights present and lit,Unknown,Passenger,Slight,Female,36,Taxi,53.79761142,-1.53383294
1052709,443314,438991,3,2,12-Dec-09,1333,2,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,45,Car,53.84514369,-1.341590382
1053209,431983,435796,2,1,11-Dec-09,2200,4,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,23,Motorcycle,53.81724641,-1.514155633
1055109,430650,434661,2,1,13-Dec-09,1100,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Car,53.80712455,-1.534517142
1055209,419668,438602,1,4,03-Dec-09,150,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,21,Car,53.84308089,-1.701045961
1055309,428808,433297,3,2,16-Dec-09,1215,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,43,Car,53.79496919,-1.562618356
1056009,429232,435447,2,1,14-Dec-09,1006,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Car,53.81427132,-1.555976979
1057209,431300,429109,1,1,18-Dec-09,1840,6,Snow,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,66,Bus or Coach,53.75718042,-1.525209634
1057609,424291,433955,1,1,18-Dec-09,1200,3,Snow,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,28,Car,53.80111434,-1.631144757
1057709,425254,433565,1,1,09-Dec-09,1945,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,18,Car,53.79756284,-1.616554079
1057809,429653,439140,1,1,17-Dec-09,1205,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Bus or Coach,53.8474427,-1.549226094
1057909,436513,428366,2,1,18-Dec-09,633,6,Frost / Ice,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,62,Car,53.75016259,-1.446225153
1058009,429102,432189,2,1,16-Dec-09,2130,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,25,Car,53.78499329,-1.558259449
1058309,427327,437199,2,1,06-Dec-09,2000,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,19,Car,53.83012321,-1.584756663
1058709,433105,433476,2,1,13-Dec-09,2100,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,27,Car,53.7963225,-1.497361876
1058809,426839,441373,2,1,28-Nov-09,645,3,Wet / Damp,Darkness: street lights present and lit,Fog or mist ,Driver or rider,Slight,Male,54,Car,53.86766751,-1.591806926
1059609,442973,434563,2,2,12-Dec-09,1428,1,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,7,Car,53.80537143,-1.347392349
1059709,424579,435154,2,1,15-Dec-09,2130,3,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Slight,Male,30,Car,53.81187839,-1.626675884
1059909,420799,436997,3,1,18-Dec-09,1210,6,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Serious,Female,61,Car,53.82860977,-1.683963654
1060209,441573,434639,14,6,11-Dec-09,1845,1,Wet / Damp,Darkness: no street lighting,Fog or mist ,Driver or rider,Slight,Male,27,Car,53.80616835,-1.368641681
1060809,422641,435004,1,1,09-Dec-09,2301,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Serious,Female,20,Car,53.81061807,-1.656122095
1061309,422872,439315,2,2,19-Dec-09,700,6,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,22,Car,53.84935867,-1.652292904
1062009,427830,430580,1,1,16-Dec-09,1727,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,17,Car,53.77059988,-1.577711818
1063309,439063,439209,2,1,14-Dec-09,815,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,39,Car,53.84744032,-1.406177433
1063609,429907,432147,4,2,17-Dec-09,1715,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,31,Car,53.78457013,-1.54604481
1063809,436200,436852,1,1,10-Dec-09,1945,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,77,Car,53.8264618,-1.449975186
1064009,436125,436914,1,1,13-Dec-09,2145,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,61,Car,53.82702431,-1.451107398
1064109,431432,431600,2,1,18-Dec-09,1100,3,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Slight,Male,18,Car,53.77956343,-1.52295363
1064409,432701,434958,2,1,18-Dec-09,2245,6,Snow,Darkness: street lights present and lit,Snowing without high winds,Passenger,Slight,Female,54,Bus or Coach,53.80966926,-1.503338211
1064709,436209,436845,3,1,15-Dec-09,1810,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,49,Car,53.82639825,-1.449839271
1065209,439677,448617,1,1,12-Dec-09,907,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,82,Car,53.93195641,-1.395625441
1065609,429740,433414,2,1,14-Dec-09,1800,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,39,Car,53.79596844,-1.54845731
1066209,431347,437166,2,2,18-Dec-09,850,6,Snow,Daylight: street lights present,Snowing without high winds,Driver or rider,Slight,Female,38,Car,53.82959962,-1.523676897
1066309,431089,433338,1,2,03-Dec-09,1505,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,11,Bus or Coach,53.79520643,-1.527983851
1066409,441484,430774,1,1,17-Dec-09,1155,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,73,Car,53.77143496,-1.370513514
1066509,429058,433891,2,1,17-Dec-09,1630,6,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Passenger,Slight,Female,62,Car,53.80029461,-1.558766776
1066609,429151,433513,1,1,18-Dec-09,1630,6,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,41,Car,53.79689166,-1.557390436
1067309,431165,434990,2,3,19-Dec-09,1530,3,Wet / Damp,Daylight: street lights present,Snowing without high winds,Driver or rider,Slight,Male,37,Car,53.81005122,-1.526662793
1067709,429280,433494,2,1,18-Dec-09,1740,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,43,Car,53.79671363,-1.555433656
1067909,437321,429489,3,2,15-Dec-09,1520,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,44,Car,53.76019959,-1.433835531
1068409,432663,436931,1,2,11-Dec-09,1550,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,45,Car,53.82740624,-1.503705827
1068809,431180,434718,3,3,16-Dec-09,1250,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,30,Car,53.8076054,-1.526462535
1069009,431803,435827,2,1,16-Dec-09,1855,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,32,Car,53.81753611,-1.516886647
1069109,424565,428027,1,1,14-Dec-09,1620,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,15,Car,53.74781552,-1.627456353
1069409,432164,434821,2,2,18-Dec-09,1107,6,Frost / Ice,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Female,15,Car,53.8084713,-1.511508138
1069809,436577,435721,2,2,16-Dec-09,1220,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,20,Car,53.81626935,-1.444381831
1071109,425546,435376,2,2,21-Dec-09,825,6,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,29,Car,53.81382729,-1.611970303
1072809,426214,437739,2,1,18-Dec-09,1240,6,Frost / Ice,Daylight: street lights present,Snowing without high winds,Driver or rider,Slight,Male,45,Goods Vehicle,53.83503447,-1.60162257
1072909,426131,427613,2,2,18-Dec-09,1205,4,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,25,Car,53.74401796,-1.603742602
1073209,433700,425861,3,5,21-Dec-09,1730,1,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,47,Car,53.72783528,-1.489159731
1074709,424081,428217,2,1,21-Dec-09,1000,3,Snow,Daylight: street lights present,Other,Driver or rider,Slight,Male,34,Car,53.749546,-1.63478154
1074909,437613,425470,5,4,18-Dec-09,857,1,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,50,Car,53.7240532,-1.429895265
1075309,430693,432923,2,1,21-Dec-09,1005,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,28,Car,53.79149963,-1.534037341
1079009,431640,435002,1,1,21-Dec-09,2130,6,Snow,Darkness: street lighting unknown,Snowing without high winds,Driver or rider,Slight,Male,31,Car,53.8101304,-1.519447488
1079209,425220,434356,2,1,22-Dec-09,845,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,58,Car,53.80467464,-1.617005523
1079909,440400,449273,2,1,20-Dec-09,1030,4,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,41,Bicycle,53.93779681,-1.38452637
1080509,429931,433585,1,1,21-Dec-09,1448,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,46,Bus or Coach,53.79749456,-1.545540839
1081909,440966,431360,1,1,24-Nov-09,1350,4,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,85,Car,53.77674325,-1.378295404
1082209,434643,437505,2,3,16-Dec-09,2031,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,39,Car,53.83243747,-1.473557615
1082909,429798,431075,1,1,28-Dec-09,1600,6,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,16,Goods Vehicle,53.77494043,-1.547802856
1083209,430688,433690,2,1,26-Dec-09,1345,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,12,Taxi,53.79839427,-1.534036834
1083409,428381,432673,1,1,17-Dec-09,1640,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,50,Car,53.78938367,-1.569158624
1083509,429559,431560,2,2,21-Dec-09,2245,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,19,Car,53.7793136,-1.551383169
1084809,428213,431202,2,1,26-Dec-09,1800,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,34,Car,53.7761703,-1.571843518
1085809,424594,428010,2,1,22-Dec-09,126,3,Snow,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,62,Car,53.74766134,-1.627017914
1086309,425171,437850,4,1,23-Dec-09,800,3,Snow,Daylight: street lights present,Other,Driver or rider,Slight,Female,42,Car,53.83608381,-1.617463682
1086509,431983,430373,1,1,24-Dec-09,702,1,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver or rider,Slight,Male,24,Car,53.76850071,-1.514718614
1087009,432363,436360,2,1,25-Dec-09,1235,6,Frost / Ice,Daylight: street lights present,Snowing without high winds,Driver or rider,Slight,Male,53,Car,53.8222925,-1.508324054
1087409,427609,429941,3,2,25-Dec-09,2020,6,Frost / Ice,Darkness: street lights present and lit,Other,Pedestrian,Slight,Female,34,Car,53.76486779,-1.581122317
1087909,435143,428614,2,1,25-Dec-09,2015,6,Frost / Ice,Darkness: street lights present and lit,Other,Pedestrian,Slight,Male,44,Car,53.75248597,-1.466974046
1088509,431447,434162,1,1,28-Dec-09,700,6,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,24,Goods Vehicle,53.80259161,-1.522464497
1089409,427198,431818,2,1,16-Dec-09,800,3,Wet / Damp,Daylight: street lights present,Fog or mist ,Driver or rider,Slight,Male,30,Car,53.78176142,-1.587192229
1091109,434990,436888,2,2,23-Dec-09,1425,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,23,Car,53.82686826,-1.468355009
1092409,423477,434036,2,2,29-Dec-09,2309,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,19,Car,53.80187981,-1.643498782
1092509,425921,436242,1,2,28-Dec-09,2355,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,28,Car,53.82159301,-1.606201434
1092709,420266,434235,2,2,27-Dec-09,1415,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,35,Car,53.80380361,-1.692244289
1093509,441107,432024,1,1,24-Dec-09,1715,3,Frost / Ice,Darkness: street lights present and lit,Fog or mist ,Driver or rider,Slight,Female,45,Car,53.7827005,-1.376067185
1093709,431332,434833,2,1,23-Dec-09,2050,6,Frost / Ice,Darkness: street lights present and lit,Snowing without high winds,Pedestrian,Slight,Male,60,Car,53.80862996,-1.524142459
1093909,436304,435058,3,1,25-Dec-09,2140,6,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,37,Car,53.81032906,-1.448606814
1094109,429320,436083,8,1,26-Dec-09,645,6,Frost / Ice,Darkness: street lights present and lit,Other,Driver or rider,Slight,Male,32,Taxi,53.81998319,-1.55457972
1094209,422409,433339,1,1,15-Nov-09,1910,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,37,Goods Vehicle,53.79566169,-1.659766891
1094709,423957,438251,1,1,23-Dec-09,1500,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,77,Car,53.8397457,-1.63588176
1094809,440749,434468,1,1,24-Dec-09,2346,1,Wet / Damp,Darkness: no street lighting,Fog or mist ,Driver or rider,Serious,Male,41,Car,53.80469653,-1.381177377
1095009,426135,437193,1,1,24-Dec-09,15,6,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver or rider,Slight,Female,36,Car,53.8301306,-1.60286954
1095209,424178,434160,1,1,14-Nov-09,1730,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,50,Car,53.80296231,-1.632844509
1097109,430513,433709,1,1,31-Dec-09,1320,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,75,Bus or Coach,53.79857535,-1.536692036
1098309,426143,437272,2,2,27-Dec-09,45,6,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,30,Car,53.83084031,-1.602741262
1100409,441649,434613,4,1,31-Dec-09,639,1,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,42,Car,53.80592857,-1.367491084
1101409,431419,434085,2,1,28-Dec-09,1707,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,41,Car,53.80190117,-1.52289753
1101709,438554,433797,1,1,31-Dec-09,1139,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,26,Car,53.79883256,-1.414593139
1102709,429247,433845,2,1,29-Dec-09,2000,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,19,Bicycle,53.79987053,-1.555901356
1103809,433646,435324,2,1,31-Dec-09,1914,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,5,Car,53.81289881,-1.488946184
1104409,427309,430777,4,8,25-Dec-09,1320,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,35,Car,53.77239826,-1.585599722
1106909,431007,439223,2,1,24-Dec-09,1630,3,Snow,Darkness: street lights present and lit,Fog or mist ,Driver or rider,Slight,Male,21,Car,53.84810967,-1.528635458
1107309,425112,436680,2,2,31-Dec-09,1330,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,38,Car,53.82556981,-1.618455899
1110209,430172,438251,1,1,08-Dec-09,2045,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,75,Car,53.83942188,-1.541424056
1110409,431875,435943,2,1,28-Dec-09,1715,4,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,27,Car,53.81857438,-1.515780932
1112091,429175,431904,2,1,01-Jan-14,1840,6,2,4,2,Driver or rider,Slight,Male,58,Car,53.7824274,-1.55717839
1180869,430429,431025,3,2,08-Jan-14,1430,1,2,1,1,Driver or rider,Slight,Male,69,Car,53.7744545,-1.538232439
1211556,426513,435659,1,1,01-Aug-14,2000,6,1,1,1,Pedestrian,Slight,Male,23,Car,53.8163227,-1.59725811
1221002,424112,428080,1,1,02-Feb-14,1531,1,2,1,1,Driver or rider,Slight,Male,28,Car,53.74831309,-1.63432209
1270266,430391,430939,4,2,07-Feb-14,824,1,1,1,1,Driver or rider,Slight,Male,53,Car,53.77368368,-1.538817552
1311240,428431,435003,1,2,01-Mar-14,1627,6,1,1,1,Driver or rider,Slight,Male,56,Taxi,53.81032474,-1.568184503
1311578,432515,434885,1,1,01-Mar-14,1915,6,1,4,1,Pedestrian,Slight,Male,19,Goods Vehicle,53.80902475,-1.50617077
1320442,430692,424510,2,1,01-Mar-14,1835,3,1,4,1,Driver or rider,Slight,Female,33,Car,53.71587706,-1.534888675
1330277,429137,435242,2,1,03-Mar-14,855,6,1,1,1,Driver or rider,Slight,Female,43,Car,53.81243397,-1.557439358
1331079,432278,436992,1,1,03-Mar-14,1600,6,1,1,1,Pedestrian,Slight,Female,17,Car,53.8279786,-1.509549023
1340155,427915,436171,1,1,04-Mar-14,642,3,1,1,1,Pedestrian,Slight,Male,19,Car,53.82085155,-1.575915394
1340208,426996,437458,2,1,04-Mar-14,736,3,1,1,1,Driver or rider,Slight,Male,49,Motorcycle,53.83246859,-1.589763433
1340463,441635,444450,2,1,04-Mar-14,1111,2,1,1,1,Passenger,Slight,Female,3,Car,53.89434844,-1.36636968
1341172,430325,424149,1,1,04-Mar-14,1737,1,1,1,1,Driver or rider,Slight,Male,42,Goods Vehicle,53.71265354,-1.540485417
1341363,429321,430673,2,2,04-Mar-14,1859,6,1,4,1,Driver or rider,Slight,Male,29,Car,53.77135402,-1.555079503
1341397,432120,432882,2,1,04-Mar-14,1915,6,1,4,1,Driver or rider,Slight,Male,44,Car,53.79104496,-1.512378604
1350602,429689,427938,1,1,05-Mar-14,1200,6,1,1,1,Pedestrian,Slight,Male,69,Taxi,53.74674882,-1.549758643
1351484,421715,440990,2,1,05-Mar-14,1900,3,1,4,1,Passenger,Slight,Male,13,Car,53.86446454,-1.669763119
1360255,427180,434761,2,1,06-Mar-14,847,3,1,1,1,Driver or rider,Slight,Male,48,Bicycle,53.80821635,-1.587205747
1360958,429050,433526,2,1,05-Mar-14,1230,3,1,1,1,Driver or rider,Slight,Male,42,Bicycle,53.79701416,-1.558922678
1361391,435951,428252,1,1,06-Mar-14,1935,3,2,4,1,Driver or rider,Slight,Male,49,Bicycle,53.74917695,-1.454761573
1370105,422649,440068,1,1,07-Mar-14,235,6,2,6,1,Driver or rider,Slight,Male,23,Car,53.85613699,-1.655627391
1370281,433177,434019,3,3,07-Mar-14,845,3,2,1,1,Driver or rider,Slight,Male,38,Motorcycle,53.80119876,-1.49621024
