Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Latitude,Longitude
19509,425549,436382,2,1,07-Jan-09,750,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,41,Bicycle,53.82286985,-1.61184118
19609,428572,432995,1,1,10-Jan-09,740,3,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,17,Motorcycle,53.7922676,-1.566229356
19809,425642,434240,2,1,02-Jan-09,2300,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,57,Car,53.8036113,-1.610606795
20009,441206,448780,2,1,09-Jan-09,750,2,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,49,Motorcycle,53.93330205,-1.372314681
20209,443242,439661,1,1,11-Jan-09,2332,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,20,Car,53.85117188,-1.342590409
20509,431914,430363,1,2,11-Jan-09,210,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,46,Car,53.76841505,-1.515766552
21809,429870,430441,3,1,06-Jan-09,2055,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,40,Car,53.76923742,-1.546771656
22109,431509,432630,3,3,10-Jan-09,1525,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,23,Car,53.78881716,-1.521679751
22309,423629,437988,3,1,06-Jan-09,1109,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,49,Motorcycle,53.83739668,-1.640887093
22509,431463,432466,1,1,05-Jan-09,2330,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,23,Car,53.7873458,-1.522394768
