Col.Number,Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Latitude,Longitude
1002,359309,431083,429661,1,1,06/05/2009,1610,6,1,1,1,3,3,1,5,9,53.7621552059,-1.52844560757
1003,370609,422470,432924,1,1,06/05/2009,750,6,1,1,1,3,3,1,12,9,53.7919286791,-1.65887102392
1004,379609,441051,432044,2,2,06/05/2009,1925,3,1,1,1,1,3,2,17,9,53.7828846901,-1.37691444926
1005,379609,441051,432044,2,2,06/05/2009,1925,3,1,1,1,1,3,2,58,9,53.7828846901,-1.37691444926
1006,363709,428457,429079,2,1,07/05/2009,1610,3,1,1,1,1,3,1,37,9,53.757073792,-1.56833651218
1007,364209,424075,434507,2,2,07/05/2009,920,6,1,1,1,1,3,1,26,9,53.8060862105,-1.63438144658
1008,364209,424075,434507,2,2,07/05/2009,920,6,1,1,1,1,3,1,45,9,53.8060862105,-1.63438144658
1009,368109,432239,444849,3,2,07/05/2009,1325,3,1,1,1,1,3,2,18,9,53.8986043417,-1.50931588995
1010,368109,432239,444849,3,2,07/05/2009,1325,3,1,1,1,2,3,1,23,9,53.8986043417,-1.50931588995
1011,370909,429320,426406,2,1,07/05/2009,716,1,1,1,1,1,3,1,19,9,53.73299882,-1.55549977163
1012,379309,432375,438796,2,1,07/05/2009,1025,6,1,1,1,1,3,1,40,1,53.8441880475,-1.50788513663
1013,379009,443227,433190,2,3,08/05/2009,2042,6,2,1,8,1,3,1,21,9,53.7930092815,-1.34372798541
1014,379009,443227,433190,2,3,08/05/2009,2042,6,2,1,8,1,3,1,33,9,53.7930092815,-1.34372798541
1015,379009,443227,433190,2,3,08/05/2009,2042,6,2,1,8,2,3,1,23,9,53.7930092815,-1.34372798541
1016,431509,433528,429794,1,1,08/05/2009,505,3,1,1,1,1,2,1,36,21,53.7631990722,-1.49134007153
1017,604109,425938,435563,2,1,08/05/2009,2150,4,1,4,1,1,3,1,29,9,53.8154887861,-1.60600042795
1018,364109,426015,437493,2,5,09/05/2009,1740,6,1,1,1,1,3,2,36,9,53.832833245,-1.60466754264
1019,364109,426015,437493,2,5,09/05/2009,1740,6,1,1,1,1,3,1,24,9,53.832833245,-1.60466754264
1020,364109,426015,437493,2,5,09/05/2009,1740,6,1,1,1,2,3,1,50,9,53.832833245,-1.60466754264
1021,364109,426015,437493,2,5,09/05/2009,1740,6,1,1,1,2,3,2,23,9,53.832833245,-1.60466754264
1022,364109,426015,437493,2,5,09/05/2009,1740,6,1,1,1,2,3,2,44,9,53.832833245,-1.60466754264
1023,370509,429953,433128,1,1,09/05/2009,215,6,1,4,1,3,3,2,28,9,53.79338544,-1.54525125051
1024,372809,429796,433780,2,1,09/05/2009,1714,6,1,1,1,1,2,1,15,1,53.7992551096,-1.54757168324
1025,374809,427808,435824,2,1,09/05/2009,240,6,1,7,1,1,3,1,20,1,53.8177381892,-1.57757226002
1026,378109,440389,433268,1,1,09/05/2009,1300,4,1,1,1,3,3,1,12,9,53.7939384172,-1.38680144289
1027,364509,428225,435782,1,2,10/05/2009,155,3,1,7,1,1,3,1,34,9,53.8173381891,-1.57124171435
1028,364509,428225,435782,1,2,10/05/2009,155,3,1,7,1,2,3,1,31,9,53.8173381891,-1.57124171435
1029,368409,423460,434023,3,1,10/05/2009,2030,6,1,1,1,1,3,1,19,9,53.8017637223,-1.6437579145
1030,370009,427100,433694,1,1,10/05/2009,1534,3,1,1,1,3,3,2,58,9,53.7986295085,-1.58851462397
1031,371709,430188,434360,4,3,10/05/2009,1958,2,1,1,1,1,3,1,41,9,53.8044459664,-1.54156282321
1032,371709,430188,434360,4,3,10/05/2009,1958,2,1,1,1,1,3,1,41,9,53.8044459664,-1.54156282321
1033,371709,430188,434360,4,3,10/05/2009,1958,2,1,1,1,2,3,2,56,9,53.8044459664,-1.54156282321
1034,415009,432849,438722,3,1,10/05/2009,1525,6,1,1,1,1,3,1,60,9,53.843493127,-1.50068833283
1035,373109,426736,433835,2,1,11/05/2009,1500,3,1,1,1,1,3,1,12,1,53.799915762,-1.5940291913
1036,373309,426443,433867,1,1,11/05/2009,1745,6,1,1,1,3,2,1,13,9,53.8002183799,-1.59847535928
1037,375909,426070,440082,2,1,11/05/2009,1805,6,1,1,1,1,3,1,47,1,53.8561023051,-1.60361199952
1038,376309,430951,428236,1,1,11/05/2009,1325,6,1,1,1,2,3,2,67,11,53.749354062,-1.53059092175
1039,376409,424132,428232,2,1,11/05/2009,1625,3,1,1,1,2,3,2,11,9,53.7496784755,-1.63400690622
1040,382109,425037,434399,1,1,11/05/2009,1140,3,1,1,1,2,3,1,34,11,53.8050699978,-1.61978102225
1041,382809,439252,432416,1,1,11/05/2009,2140,3,1,4,1,1,3,1,22,9,53.7863672,-1.40417122665
1042,395509,429580,430353,2,1,11/05/2009,751,3,1,1,1,1,3,1,37,4,53.7684629627,-1.55118021918
1043,422609,428693,435249,2,1,11/05/2009,1830,6,1,1,1,1,3,1,25,9,53.8125215776,-1.56418238555
1044,377709,442182,430333,2,1,12/05/2009,1730,6,1,1,1,1,3,1,17,1,53.7674149652,-1.35998293979
1045,380109,434355,434347,1,1,12/05/2009,1729,3,1,1,1,3,3,1,18,11,53.8040705629,-1.47828662108
1046,380309,428857,432534,2,2,12/05/2009,1810,3,1,1,1,1,3,2,24,9,53.788108055,-1.56194589218
1047,380309,428857,432534,2,2,12/05/2009,1810,3,1,1,1,2,3,2,24,9,53.788108055,-1.56194589218
1048,382209,420296,434227,2,1,12/05/2009,1515,3,1,1,1,1,3,2,20,9,53.8037305324,-1.69178924967
1049,382309,428099,434756,2,2,12/05/2009,940,6,1,1,1,1,3,2,38,9,53.8081225662,-1.57324937779
1050,382309,428099,434756,2,2,12/05/2009,940,6,1,1,1,1,3,2,31,5,53.8081225662,-1.57324937779
1051,401009,431876,436032,1,1,12/05/2009,1715,6,1,1,1,3,3,2,25,9,53.8193743108,-1.51575651847
1052,383109,432531,443137,2,1,13/05/2009,750,3,1,1,1,1,3,2,55,9,53.883197721,-1.50505362074
1053,383509,424163,428142,2,2,13/05/2009,1340,3,1,1,1,1,3,1,40,9,53.7488680379,-1.63354380182
1054,383509,424163,428142,2,2,13/05/2009,1340,3,1,1,1,1,3,1,30,9,53.7488680379,-1.63354380182
1055,399809,429905,434282,2,1,14/05/2009,1525,3,1,1,1,1,3,1,27,1,53.803761195,-1.54586790903
1056,406809,428503,433186,2,2,14/05/2009,1355,3,1,1,1,2,3,1,18,9,53.7939882398,-1.56725918666
1057,406809,428503,433186,2,2,14/05/2009,1355,3,1,1,1,2,3,1,30,9,53.7939882398,-1.56725918666
1058,481609,429632,431968,1,1,14/05/2009,1620,6,1,1,1,2,3,2,16,11,53.7829768693,-1.55023607126
1059,384909,430436,433457,2,3,15/05/2009,330,6,1,4,1,2,3,1,46,21,53.7963147016,-1.53788606137
1060,384909,430436,433457,2,3,15/05/2009,330,6,1,4,1,2,3,2,18,9,53.7963147016,-1.53788606137
1061,384909,430436,433457,2,3,15/05/2009,330,6,1,4,1,2,3,1,20,9,53.7963147016,-1.53788606137
1062,385309,430147,432827,2,2,15/05/2009,856,3,2,1,2,1,3,2,19,9,53.7906686266,-1.54233548338
1063,385309,430147,432827,2,2,15/05/2009,856,3,2,1,2,2,3,1,23,9,53.7906686266,-1.54233548338
1064,387709,430496,433712,1,1,15/05/2009,1320,6,2,1,2,2,3,1,29,11,53.7986033117,-1.53694985722
1065,387909,430491,431158,2,1,15/05/2009,1720,6,1,1,1,1,3,1,51,9,53.7756463734,-1.53727845829
1066,388409,428984,430932,2,3,15/05/2009,1300,6,2,1,1,1,3,2,47,9,53.7737009821,-1.56016867962
1067,388409,428984,430932,2,3,15/05/2009,1300,6,2,1,1,2,3,1,21,9,53.7737009821,-1.56016867962
1068,388409,428984,430932,2,3,15/05/2009,1300,6,2,1,1,2,3,2,14,9,53.7737009821,-1.56016867962
1069,390209,445402,431760,3,1,15/05/2009,907,2,2,1,2,1,3,1,79,9,53.7799706624,-1.31092037457
1070,390409,436381,433645,1,1,15/05/2009,1800,6,2,1,1,1,3,1,17,3,53.7976228042,-1.44760435186
1071,390509,425717,435157,2,5,15/05/2009,715,6,2,1,2,1,3,1,45,9,53.8118503201,-1.60939127664
1072,390509,425717,435157,2,5,15/05/2009,715,6,2,1,2,1,3,2,30,9,53.8118503201,-1.60939127664
1073,390509,425717,435157,2,5,15/05/2009,715,6,2,1,2,2,3,1,32,9,53.8118503201,-1.60939127664
1074,390509,425717,435157,2,5,15/05/2009,715,6,2,1,2,2,3,1,31,9,53.8118503201,-1.60939127664
1075,390509,425717,435157,2,5,15/05/2009,715,6,2,1,2,2,3,2,8,9,53.8118503201,-1.60939127664
1076,391109,433311,441762,2,2,15/05/2009,1725,6,2,1,2,1,3,2,19,9,53.8707889621,-1.49333616088
1077,391109,433311,441762,2,2,15/05/2009,1725,6,2,1,2,1,3,2,66,9,53.8707889621,-1.49333616088
1078,391309,427593,435930,2,2,15/05/2009,1140,4,2,1,2,1,3,1,27,9,53.8187024521,-1.58082869227
1079,391309,427593,435930,2,2,15/05/2009,1140,4,2,1,2,2,3,2,24,9,53.8187024521,-1.58082869227
1080,395309,430760,424364,2,1,15/05/2009,1155,3,2,1,2,2,3,1,46,9,53.7145606812,-1.53387273866
1081,402209,433270,429616,1,2,15/05/2009,535,1,5,1,2,1,3,2,24,9,53.7616156232,-1.4952732599
1082,402209,433270,429616,1,2,15/05/2009,535,1,5,1,2,2,3,2,54,9,53.7616156232,-1.4952732599
1083,405809,427666,435305,2,1,15/05/2009,1630,6,2,1,1,1,3,1,35,9,53.813080607,-1.57977596995
1084,387509,441080,445560,2,1,16/05/2009,1130,2,1,1,1,1,3,1,22,9,53.904369755,-1.37466653348
1085,390709,434521,436328,1,1,16/05/2009,1530,6,2,1,9,2,3,1,65,11,53.8218660157,-1.47554362536
1086,394309,431503,430574,1,1,16/05/2009,1640,6,1,1,9,2,2,2,69,11,53.7703367016,-1.52198089884
1087,389509,429343,437358,2,2,17/05/2009,1550,6,2,1,1,1,3,1,43,9,53.8314424803,-1.55410864513
1088,389509,429343,437358,2,2,17/05/2009,1550,6,2,1,1,1,3,2,40,9,53.8314424803,-1.55410864513
1089,389909,431928,432895,2,1,17/05/2009,1505,6,2,1,1,1,3,1,16,1,53.7911736305,-1.51529193985
1090,398709,434106,433729,1,1,17/05/2009,1230,6,2,1,2,2,3,2,65,11,53.7985319705,-1.48213620263
1091,409409,430827,433531,1,1,17/05/2009,2330,6,1,7,1,2,3,1,62,9,53.7969568456,-1.53194226559
1092,393309,427065,431798,2,1,18/05/2009,1700,3,2,1,2,1,3,1,24,9,53.781588578,-1.58921258447
1093,395409,425136,433910,1,1,18/05/2009,1720,6,2,1,1,3,3,1,46,9,53.8006696964,-1.61831753809
1094,399909,435544,438367,2,1,18/05/2009,1340,6,1,1,1,1,3,2,38,9,53.8401247484,-1.45976677807
1095,402109,428750,436966,2,1,18/05/2009,1328,6,1,1,1,1,2,1,31,5,53.8279520583,-1.5631561459
1096,412009,428227,436523,2,1,18/05/2009,1900,4,1,1,1,1,3,1,59,1,53.8239987273,-1.57114332774
1097,647109,431967,435829,2,2,18/05/2009,1810,3,1,1,1,1,3,1,35,9,53.8175440248,-1.51439524499
1098,647109,431967,435829,2,2,18/05/2009,1810,3,1,1,1,2,3,2,35,9,53.8175440248,-1.51439524499
1099,394709,421977,436511,2,1,19/05/2009,1333,3,1,1,1,1,3,2,75,9,53.8241927227,-1.66609926149
1100,397509,424673,427575,6,7,19/05/2009,630,1,1,1,1,1,2,1,50,21,53.7437474371,-1.62585460016
1101,397509,424673,427575,6,7,19/05/2009,630,1,1,1,1,1,3,1,44,19,53.7437474371,-1.62585460016
1102,397509,424673,427575,6,7,19/05/2009,630,1,1,1,1,1,1,1,56,19,53.7437474371,-1.62585460016
1103,397509,424673,427575,6,7,19/05/2009,630,1,1,1,1,1,3,1,29,19,53.7437474371,-1.62585460016
1104,397509,424673,427575,6,7,19/05/2009,630,1,1,1,1,2,2,1,35,19,53.7437474371,-1.62585460016
1105,397509,424673,427575,6,7,19/05/2009,630,1,1,1,1,2,1,1,55,19,53.7437474371,-1.62585460016
1106,397509,424673,427575,6,7,19/05/2009,630,1,1,1,1,2,2,1,35,19,53.7437474371,-1.62585460016
1107,398309,431017,431517,3,3,19/05/2009,1330,6,2,1,5,1,3,2,28,9,53.7788422615,-1.52926023734
1108,398309,431017,431517,3,3,19/05/2009,1330,6,2,1,5,1,3,1,19,9,53.7788422615,-1.52926023734
1109,398309,431017,431517,3,3,19/05/2009,1330,6,2,1,5,2,3,2,30,9,53.7788422615,-1.52926023734
1110,398909,430663,433602,2,1,19/05/2009,730,6,2,1,8,1,3,1,33,9,53.7976047364,-1.53442517897
1111,400009,426367,431777,2,1,19/05/2009,1800,6,2,1,1,1,3,2,33,9,53.7814356367,-1.59980820327
1112,404509,431878,435121,1,1,19/05/2009,1947,6,2,1,1,3,3,2,14,9,53.8111855136,-1.51582052809
1113,400509,429646,432926,2,3,20/05/2009,1545,6,2,1,1,2,3,1,11,9,53.7915872962,-1.54993142657
1114,400509,429646,432926,2,3,20/05/2009,1545,6,2,1,1,2,3,2,33,9,53.7915872962,-1.54993142657
1115,400509,429646,432926,2,3,20/05/2009,1545,6,2,1,1,2,3,2,78,9,53.7915872962,-1.54993142657
1116,400909,429830,433926,1,1,20/05/2009,1825,6,2,1,2,3,3,1,72,5,53.8005655155,-1.54704129581
1117,401709,435820,435761,2,1,20/05/2009,2220,6,2,4,5,1,3,1,36,19,53.8166815976,-1.45587570697
1118,402909,420323,445538,2,1,20/05/2009,1715,6,2,1,1,2,3,2,41,9,53.9054017636,-1.690630303
1119,405209,432823,435664,2,1,20/05/2009,2023,6,1,1,1,1,3,1,9,1,53.8160075571,-1.50141004788
1120,403809,431757,431166,2,2,21/05/2009,2130,6,1,1,1,2,3,2,15,9,53.7756426035,-1.51806596191
1121,403809,431757,431166,2,2,21/05/2009,2130,6,1,1,1,2,3,2,30,9,53.7756426035,-1.51806596191
1122,408909,423084,433821,1,1,21/05/2009,1923,6,1,1,1,3,2,2,11,9,53.7999647989,-1.64948253059
1123,410209,429101,434717,2,1,21/05/2009,1400,6,1,1,1,1,3,1,42,4,53.8077168998,-1.55803578497
1124,412509,428236,436521,2,1,21/05/2009,1730,4,1,1,1,1,3,1,40,1,53.8239802609,-1.57100677738
1125,413009,439126,430585,2,1,21/05/2009,2215,6,1,6,1,1,3,2,18,9,53.7699186346,-1.40631606809
1126,413409,432440,435189,1,2,21/05/2009,915,6,1,1,1,1,3,1,23,11,53.8117619848,-1.50727775922
1127,413409,432440,435189,1,2,21/05/2009,915,6,1,1,1,2,3,1,34,11,53.8117619848,-1.50727775922
1128,413709,432306,434539,2,2,21/05/2009,835,6,1,1,1,1,3,1,40,9,53.8059276941,-1.50938119211
1129,413709,432306,434539,2,2,21/05/2009,835,6,1,1,1,2,3,1,4,9,53.8059276941,-1.50938119211
1130,443109,432542,434154,1,1,21/05/2009,1712,6,1,1,1,3,3,1,7,9,53.8024523432,-1.5058379917
1131,515609,430479,435444,2,3,21/05/2009,1325,3,1,1,1,1,3,2,24,9,53.8141727483,-1.53703648538
1132,515609,430479,435444,2,3,21/05/2009,1325,3,1,1,1,2,2,1,50,9,53.8141727483,-1.53703648538
1133,515609,430479,435444,2,3,21/05/2009,1325,3,1,1,1,2,3,2,22,9,53.8141727483,-1.53703648538
1134,403709,430381,433481,1,1,22/05/2009,1115,6,1,1,1,3,3,1,69,21,53.7965336457,-1.5387187368
1135,406609,434511,434412,1,1,22/05/2009,1615,3,1,1,1,2,3,2,68,11,53.804644496,-1.47591043518
1136,407909,430374,433494,1,1,22/05/2009,1421,6,1,1,1,3,2,1,68,11,53.7966509078,-1.53882373354
1137,408309,430814,435376,2,1,22/05/2009,955,6,1,1,1,2,3,2,43,9,53.8135417711,-1.53195496865
1138,417909,432190,428921,3,1,22/05/2009,532,1,1,7,1,1,3,2,25,9,53.7554363027,-1.51172933756
1139,419409,419505,433656,1,1,22/05/2009,740,6,1,1,1,3,3,2,35,9,53.7986281421,-1.70383719661
1140,403109,425924,439416,1,2,23/05/2009,1330,6,1,1,1,3,2,2,93,9,53.8501231308,-1.60588808206
1141,403109,425924,439416,1,2,23/05/2009,1330,6,1,1,1,3,3,2,74,9,53.8501231308,-1.60588808206
1142,403409,430363,433547,1,1,23/05/2009,920,6,1,1,1,3,3,2,70,19,53.7971279522,-1.53898551872
1143,408009,428961,433435,2,1,23/05/2009,1545,6,1,1,1,1,3,1,50,9,53.7962011478,-1.56028251123
1144,408609,421185,440203,1,1,23/05/2009,1320,4,1,1,1,3,3,1,17,9,53.8574122833,-1.67787743941
1145,410109,431771,435536,2,1,23/05/2009,1450,3,1,1,1,1,3,1,26,9,53.814922361,-1.51740278628
1146,411609,431968,435825,2,2,23/05/2009,1400,3,1,1,1,1,3,1,23,9,53.8175080087,-1.51438047046
1147,411609,431968,435825,2,2,23/05/2009,1400,3,1,1,1,1,3,2,19,9,53.8175080087,-1.51438047046
1148,413209,431762,435517,3,3,23/05/2009,1500,3,1,1,1,1,3,1,21,9,53.8147521262,-1.51754145116
1149,413209,431762,435517,3,3,23/05/2009,1500,3,1,1,1,2,3,1,21,9,53.8147521262,-1.51754145116
1150,413209,431762,435517,3,3,23/05/2009,1500,3,1,1,1,2,3,1,19,9,53.8147521262,-1.51754145116
1151,415109,440944,428428,2,1,23/05/2009,1930,6,1,1,1,1,3,1,19,3,53.7503905882,-1.37901822986
1152,425309,433490,435139,2,1,23/05/2009,614,6,1,1,1,1,3,2,44,9,53.8112459852,-1.49133572069
1153,469009,431585,440362,5,1,23/05/2009,25,6,1,4,1,1,2,1,29,9,53.8583128671,-1.5197319126
1154,409709,428118,435899,2,1,24/05/2009,1230,3,1,1,1,1,3,1,43,1,53.8183956693,-1.57285637782
1155,412809,428925,429829,2,1,24/05/2009,1545,3,1,1,1,1,3,1,20,1,53.7637896242,-1.56116738156
1156,413809,432174,434628,2,3,24/05/2009,1610,6,1,1,1,2,3,1,25,11,53.8067358687,-1.51137644279
1157,413809,432174,434628,2,3,24/05/2009,1610,6,1,1,1,2,3,2,43,11,53.8067358687,-1.51137644279
1158,413809,432174,434628,2,3,24/05/2009,1610,6,1,1,1,2,3,2,51,11,53.8067358687,-1.51137644279
1159,423809,425480,434193,3,1,24/05/2009,2248,6,1,4,1,1,2,1,19,9,53.8031967909,-1.61307071518
1160,450509,429834,428083,1,1,24/05/2009,2050,6,1,1,1,3,3,2,18,9,53.7480439158,-1.54754575245
1161,412209,430263,434068,1,1,25/05/2009,900,6,1,1,1,3,3,1,61,9,53.8018169028,-1.54045260919
1162,413609,429136,436751,2,1,25/05/2009,1930,4,1,1,1,1,3,2,18,9,53.825997989,-1.55731160896
1163,415909,432744,437642,1,1,25/05/2009,1350,6,1,1,1,3,3,2,8,9,53.8337920558,-1.50239939247
1164,416009,427225,429456,2,1,25/05/2009,1323,6,1,1,1,1,2,1,10,1,53.7605284186,-1.58699089431
1165,416409,429409,433921,3,2,25/05/2009,1310,3,1,1,1,1,3,2,38,9,53.8005445438,-1.55343430399
1166,416409,429409,433921,3,2,25/05/2009,1310,3,1,1,1,2,3,2,20,9,53.8005445438,-1.55343430399
1167,433109,427954,435305,2,1,25/05/2009,15,6,1,4,1,2,3,1,16,2,53.8130652029,-1.5754016159
1168,451709,426285,432004,2,1,25/05/2009,15,6,1,4,1,2,3,2,37,8,53.7834802456,-1.60103339049
1169,415509,434592,435643,2,1,26/05/2009,2230,6,1,4,1,2,3,2,14,9,53.815704102,-1.47454204946
1170,416109,432193,434636,1,1,26/05/2009,1815,6,1,1,1,3,3,2,2,9,53.8068066023,-1.51108706645
1171,419609,424085,428073,2,1,26/05/2009,2115,3,1,1,1,1,3,1,17,2,53.748251414,-1.63473210364
1172,423009,431121,433671,1,1,26/05/2009,1407,3,1,1,1,2,3,2,84,11,53.7981977609,-1.5274643751
1173,423909,430411,433744,1,1,27/05/2009,1400,6,1,1,1,2,3,2,39,11,53.7988959266,-1.53823728799
1174,425109,432715,438967,2,2,27/05/2009,1640,6,1,1,1,1,3,2,59,9,53.845703793,-1.50269897829
1175,425109,432715,438967,2,2,27/05/2009,1640,6,1,1,1,1,3,2,47,9,53.845703793,-1.50269897829
1176,425509,440021,428785,1,2,27/05/2009,2030,6,1,1,1,2,3,1,19,9,53.7536712103,-1.39296987666
1177,425509,440021,428785,1,2,27/05/2009,2030,6,1,1,1,2,2,1,19,9,53.7536712103,-1.39296987666
1178,428809,432206,438846,1,1,27/05/2009,1230,6,1,1,1,3,3,2,13,9,53.8446479857,-1.51044866746
1179,423609,428434,431329,1,1,28/05/2009,1340,3,1,1,1,2,3,2,23,11,53.7772998575,-1.5684780474
1180,425709,436233,435849,1,1,28/05/2009,1745,6,1,1,1,3,3,1,10,9,53.8174439717,-1.44959197612
1181,434709,440365,448138,1,1,28/05/2009,1020,3,1,1,1,3,3,1,43,9,53.927597825,-1.38520951318
1182,469809,428843,435545,3,1,28/05/2009,1350,3,1,1,1,1,2,1,18,1,53.8151739414,-1.56187636349
1183,536709,430660,433453,1,1,28/05/2009,1545,6,1,1,1,3,3,2,18,1,53.7962655942,-1.53448556015
1184,423209,423475,434032,2,4,29/05/2009,1228,6,1,1,1,1,3,1,21,9,53.8018439451,-1.64352945693
1185,423209,423475,434032,2,4,29/05/2009,1228,6,1,1,1,2,3,1,19,9,53.8018439451,-1.64352945693
1186,423209,423475,434032,2,4,29/05/2009,1228,6,1,1,1,2,3,1,22,9,53.8018439451,-1.64352945693
1187,423209,423475,434032,2,4,29/05/2009,1228,6,1,1,1,2,3,2,18,9,53.8018439451,-1.64352945693
1188,423709,421332,432740,2,1,29/05/2009,1530,6,1,1,1,1,3,2,32,9,53.7903226231,-1.67616003207
1189,427909,442613,427576,1,1,29/05/2009,1600,3,1,1,1,3,3,2,17,9,53.7425985701,-1.35382440823
1190,430209,444440,432696,2,1,29/05/2009,1920,6,1,1,1,2,3,2,14,9,53.7884668264,-1.32538486319
1191,452809,432090,435620,2,3,29/05/2009,1735,4,1,1,1,1,3,1,48,9,53.815657817,-1.51254865005
1192,452809,432090,435620,2,3,29/05/2009,1735,4,1,1,1,2,3,2,14,9,53.815657817,-1.51254865005
1193,452809,432090,435620,2,3,29/05/2009,1735,4,1,1,1,2,3,2,47,9,53.815657817,-1.51254865005
1194,422909,423853,434676,1,1,30/05/2009,1110,6,1,1,1,3,3,1,4,8,53.8076155504,-1.63773971206
1195,426109,431095,433727,2,2,30/05/2009,1950,2,1,1,1,1,3,1,43,5,53.7987026832,-1.52785348556
1196,426109,431095,433727,2,2,30/05/2009,1950,2,1,1,1,1,3,1,29,8,53.7987026832,-1.52785348556
1197,431109,433551,445024,2,2,30/05/2009,1730,3,1,1,1,1,2,1,45,5,53.9000940656,-1.48932866044
1198,431109,433551,445024,2,2,30/05/2009,1730,3,1,1,1,2,3,2,34,5,53.9000940656,-1.48932866044
1199,432709,430790,433471,1,1,30/05/2009,1426,3,1,1,1,3,3,2,38,9,53.7964197137,-1.53251002752
1200,432909,428456,429079,2,2,30/05/2009,1330,3,1,1,1,1,3,2,41,9,53.7570738466,-1.56835168068
1201,432909,428456,429079,2,2,30/05/2009,1330,3,1,1,1,2,3,1,29,9,53.7570738466,-1.56835168068
1202,438809,429118,428125,1,1,30/05/2009,1025,6,1,1,1,2,3,1,79,10,53.7484619409,-1.55840009343
1203,476209,425906,436258,2,1,30/05/2009,1120,3,1,1,1,1,3,1,18,3,53.8217375767,-1.60642796454
1204,549809,432944,426586,2,1,30/05/2009,145,3,1,7,1,1,3,1,18,9,53.7344004413,-1.50054180738
1205,426709,424638,433559,3,2,31/05/2009,1140,3,1,1,1,1,3,1,53,9,53.7975384467,-1.62590741727
1206,426709,424638,433559,3,2,31/05/2009,1140,3,1,1,1,2,3,2,52,9,53.7975384467,-1.62590741727
1207,433009,431995,429075,2,2,31/05/2009,1900,6,1,1,1,1,3,1,27,9,53.7568325815,-1.51467109969
1208,433009,431995,429075,2,2,31/05/2009,1900,6,1,1,1,1,3,1,49,8,53.7568325815,-1.51467109969
1209,441909,422875,439313,2,4,31/05/2009,1457,6,1,1,1,1,3,1,88,9,53.8493405622,-1.65224744662
1210,441909,422875,439313,2,4,31/05/2009,1457,6,1,1,1,1,3,1,74,9,53.8493405622,-1.65224744662
1211,441909,422875,439313,2,4,31/05/2009,1457,6,1,1,1,2,3,2,84,9,53.8493405622,-1.65224744662
1212,441909,422875,439313,2,4,31/05/2009,1457,6,1,1,1,2,3,2,72,9,53.8493405622,-1.65224744662
1213,433309,429684,430763,1,1,01/06/2009,1930,6,1,1,1,3,3,1,10,9,53.7721424438,-1.54956282184
1214,434809,427296,433634,2,1,01/06/2009,1710,3,1,1,1,1,3,1,38,3,53.7980799346,-1.5855439706
1215,438409,437471,431274,1,1,01/06/2009,1750,1,1,1,1,1,3,1,20,9,53.7762334989,-1.43134335367
1216,446009,423989,438139,1,1,01/06/2009,1550,6,1,1,1,3,3,2,37,9,53.8387374856,-1.6354041542
1217,446309,444190,433884,1,2,01/06/2009,110,2,1,6,1,1,3,1,38,9,53.799166337,-1.32900925461
1218,446309,444190,433884,1,2,01/06/2009,110,2,1,6,1,2,2,1,29,9,53.799166337,-1.32900925461
1219,451609,426977,432308,2,1,01/06/2009,858,6,1,1,1,1,3,1,28,3,53.7861774363,-1.5905035602
1220,433709,430162,433766,1,2,02/06/2009,1030,6,1,1,1,3,3,1,32,1,53.7991081752,-1.54201583285
1221,433709,430162,433766,1,2,02/06/2009,1030,6,1,1,1,1,3,1,26,1,53.7991081752,-1.54201583285
1222,434309,427547,431985,2,1,02/06/2009,715,3,1,1,1,1,3,1,23,9,53.7832441987,-1.58188038281
1223,446709,438731,429963,2,1,02/06/2009,2030,6,1,1,1,2,2,1,18,5,53.7643572613,-1.41238738238
1224,450009,428455,429067,2,1,02/06/2009,1645,3,1,1,1,1,3,1,31,9,53.7569660354,-1.56836795513
1225,454209,437525,433018,1,1,02/06/2009,2327,6,1,4,1,3,3,1,23,9,53.7919057097,-1.43031158886
1226,454709,420577,440162,2,1,02/06/2009,1740,3,1,1,1,1,2,1,32,1,53.8570681998,-1.68712480742
1227,438509,430761,433525,1,1,03/06/2009,1250,3,1,1,1,2,3,1,38,11,53.7969068199,-1.5329449305
1228,441509,430080,432200,1,1,03/06/2009,2015,3,1,1,1,1,2,1,26,5,53.7850365622,-1.54341378099
1229,442309,428912,434797,1,1,03/06/2009,2339,6,1,4,1,3,3,1,22,9,53.8084465403,-1.56089856787
1230,443609,433173,434023,2,1,03/06/2009,1425,3,1,1,4,2,3,2,75,11,53.8012349688,-1.4962705463
1231,446609,430063,433950,2,1,03/06/2009,1206,6,1,1,1,1,3,1,33,1,53.8007678312,-1.54350104785
1232,446809,431275,433833,2,1,03/06/2009,1956,6,1,1,1,1,3,2,20,3,53.7996446953,-1.52510970371
1233,455009,426272,433566,1,1,03/06/2009,1750,6,1,1,1,3,2,2,8,9,53.7975214174,-1.60109752265
1234,441009,429107,436249,2,1,04/06/2009,920,6,1,1,1,1,3,1,51,1,53.8214872834,-1.55779973325
1235,444309,430480,435431,2,1,04/06/2009,1230,3,1,1,1,1,3,1,57,9,53.8140558366,-1.53702258414
1236,445509,429388,434939,2,2,04/06/2009,1213,3,1,1,1,1,3,2,55,9,53.8096962572,-1.55365599167
1237,445509,429388,434939,2,2,04/06/2009,1213,3,1,1,1,2,3,2,63,9,53.8096962572,-1.55365599167
